Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback
akakkasa	p	adj		kakkasa	neg				smooth; tender; not harsh; not rough					na > a + kakkasa	akarkaśa				PTS suggests ku + √kar + ta?	DHP 408	brāhmaṇavaggo	<b>akakkasaṃ</b> viññāpaniṃ, giraṃ saccam'udīraye,<br/>yāya n'ābhisaje kañci, tam'ahaṃ brūmi brāhmaṇaṃ.														akakkas	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akakkasa"">feedback</a>"
akaci	p	pron	base	ka	neg				nothing; lit. not something					na > a + ka + ci	akiṃcid					DHP 390	brāhmaṇavaggo	na brāhmaṇass'etad'<b>akiñci</b> seyyo,<br/>yadā nisedho manaso piyehi,<br/>yato yato hiṃsamano nivattati,<br/>tato tato sammati'm'eva dukkhaṃ.														a	kaci pron	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akaci"">feedback</a>"
akataññū 1	p	adj	comp		neg				ungrateful; lit. not knowing what is done					na > a + kata + ñū	na + kṛtajña				see akataññu 2	DHP 97	arahantavaggo	assaddho <b>akataññū</b> ca, sandhicchedo ca yo naro,<br/>hat'āvakāso vant'āso, sa ve uttamaporiso.														akataññ	ū adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akataññū 1"">feedback</a>"
akataññū 2	pp	adj	comp		neg				knowing the uncreated; who knows the unborn					akata + ñū	akṛta + jña				see akataññu 1	DHP 383	brāhmaṇavaggo	chinda sotaṃ parakkamma, kāme panūda brāhmaṇa,<br/>saṅkhārānaṃ khayaṃ ñatvā, <b>akataññū</b>'si brāhmaṇa.	DHP 97	arahantavaggo	assaddho <b>akataññū</b> ca, sandhicchedo ca yo naro,<br/>hat'āvakāso vant'āso, sa ve uttamaporiso.											akataññ	ū adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akataññū 2"">feedback</a>"
akata 2	pp	nt	pp	karoti	neg				something not done; unperformed action			√kar 7 o (to do, make)		na > a + √kar + ta	akṛta	√kṛ				DHP 314	nirayavaggo	<b>akataṃ</b> dukkaṭaṃ seyyo, pacchā tappati dukkaṭaṃ,<br/>katañ'ca sukataṃ seyyo, yaṃ katvā n'ānutappati.	DHP 50	pupphavaggo	na paresaṃ vilomāni, na paresaṃ kat'ākataṃ,<br/>attano'va avekkheyya, katāni <b>akatāni</b> ca.											akat	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akata 2"">feedback</a>"
akathaṃkathī	ps	adj	comp		neg			+loc	not confused; without doubt; lit. not asking “how?”					na + kathaṃ + kathī	akathaṃkathika					DHP 411	brāhmaṇavaggo	yass'ālayā na vijjanti, aññāya <b>akathaṃkathī</b>,<br/>amat'ogadham'anuppattaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.	MN 107	gaṇakamoggallānasuttaṃ	vicikicchaṃ pahāya tiṇṇavicikiccho viharati <b>akathaṃkathī</b> kusalesu dhammesu, vicikicchāya cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings							18n	akathaṃkath	ī adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akathaṃkathī"">feedback</a>"
akāriya	p	ptp		karoti	neg				not do-able; could not be done; impossible to do			√kar 7 o (to do, make)		na > a + √kar > kār + *iya<br/>na + kāriya	akaraṇīya, akārya	√kṛ				DHP 176	lokavaggo	ekaṃ dhammaṃ atītassa, musāvādissa jantuno,<br/>vitiṇṇaparalokassa, n'atthi pāpaṃ <b>akāriyaṃ</b>.														akāriy	a ptp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akāriya"">feedback</a>"
akicca	p	nt	ptp	karoti	neg				(something which) should be not done; ought not to be made			√kar 7 o (to do, make)		na > a + √kar + tya	akṛtya	√kṛ				DHP 293	pakiṇṇakavaggo	yesañ'ca susamāraddhā, niccaṃ kāyagatā sati,<br/><b>akiccaṃ</b> te na sevanti, kicce sātaccakārino,<br/>satānaṃ sampajānānaṃ, atthaṃ gacchanti āsavā.														akicc	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akicca"">feedback</a>"
akiñcana	ps	adj		na kiñci	neg				with nothing; having no; possession-less					na + kiñci + ana	akiñcana					DHP 396	brāhmaṇavaggo	na c'āhaṃ brāhmaṇaṃ brūmi, yonijaṃ mattisambhavaṃ,<br/>bhovādi nāma so hoti, sace hoti sakiñcano,<br/><b>akiñcanaṃ</b> anādānaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.	DHP 88	paṇḍitavaggo	tatr’ābhiratim’iccheyya, hitvā kāme <b>akiñcano</b>, <br/>pariyodapeyya attānaṃ, cittaklesehi paṇḍito.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	akiñcan	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akiñcana"">feedback</a>"
akiñci	p	pron	nom & acc sg	kiñci	neg				nothing; lit. not anything					na > a + ka > ki + iṃ + ci	akiṃcid					DHP 390	brāhmaṇavaggo	na brāhmaṇass'etad'<b>akiñci</b> seyyo, yadā nisedho manaso piyehi,<br/>yato yato hiṃsamano nivattati, tato tato sammati'm'eva dukkhaṃ.														!	akaci	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akiñci"">feedback</a>"
akutobhaya	p	adj	comp		neg				nothing to fear from anywhere; with no reason for fear; lit. from nowhere fear					na > a + kuto + bhaya	akutobhaya			(DHPa) n'atthi kutoci bhavato vā ārammaṇato vā etesaṃ bhayanti akutobhayā, te akutobhaye.		DHP 196	buddhavaggo	te tādise pūjayato, nibbute <b>akutobhaye</b>,<br/>na sakkā puññaṃ saṅkhātuṃ, im'ettam'api kenaci.														akutobhay	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akutobhaya"">feedback</a>"
akubbato	pp	prp	dat sg	kubbanta	neg		trans	+acc	for one not doing (something)			√kar 7 o (to do, make)	√kar + o > kubba (irreg)	na > a + kubba + nta + to<br/>akubbanta + to	akurvate	√kṛ			Kacc 512, 522 (kar > kubb)	DHP 51	pupphavaggo	yathā'pi ruciraṃ pupphaṃ, vaṇṇavantaṃ agandhakaṃ,<br/>evaṃ subhāsitā vācā, aphalā hoti <b>akubbato</b>.	DHP 124	pāpavaggo	pāṇimhi ce vaṇo n'āssa, hareyya pāṇinā visaṃ,<br/>n'ābbaṇaṃ visam'anveti, n'atthi pāpaṃ <b>akubbato</b>.											!akubb	anta prp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akubbato"">feedback</a>"
