bhikkhupātimokkhapāḷi	pos	grammar	+case	tamil	meaning	lit. meaning	root	rt gp	sign	base	construction	compound type	compound construction	abbrev	source	sentence	aṭṭhakathā	feedback
namo	ind	nom sg of namas	+dat		homage (to), respect (to)	bending (to), bowing (to)	√nam (bend)	1	a		√nam + as			NI	nidānuddeso	<b>namo</b> tassa bhagavato arahato sammāsambuddhassa.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=namo"">feedback</a>"
tassa	pron	masc dat sg of ta			to him									NI	nidānuddeso	namo <b>tassa</b> bhagavato arahato sammāsambuddhassa.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=tassa"">feedback</a>"
bhagavato	noun	masc dat sg of bhagavantu			to the Blessed One, Fortunate one	having quality of fortune	√bhaj (divide)	1	a		√bhaj + a + vantu			NI	nidānuddeso	namo tassa <b>bhagavato</b> arahato sammāsambuddhassa.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=bhagavato"">feedback</a>"
arahato	noun	masc dat sg of arahanta			to the awakened being, enlightened person	worthy one	√arah (be worthy)	1	a		√arah + anta			NI	nidānuddeso	namo tassa bhagavato <b>arahato</b> sammāsambuddhassa.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=arahato"">feedback</a>"
sammāsambuddhassa	noun	masc dat sg of sammāsambuddha, comp			to the perfectly fully awakened being						sammā + sambuddha	abyāyibhāva	sammā + sambuddha	NI	nidānuddeso	namo tassa bhagavato arahato <b>sammāsambuddhassa</b>.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=sammāsambuddhassa"">feedback</a>"
- sammā	ind				perfectly, correctly, thoroughly, fully, totally									NI	nidānuddeso	namo tassa bhagavato arahato <b>sammā</b>sambuddhassa.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- sammā"">feedback</a>"
- sambuddhassa	noun	masc dat sg of sambuddha, pp of sambujjhati			to the fully enlightened being	fully awakens	√budh (wake up)	3	ya		saṃ + √budh + ta			NI	nidānuddeso	namo tassa bhagavato arahato sammā<b>sambuddhassa</b>.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- sambuddhassa"">feedback</a>"
suṇātu	verb	imp 3rd person sg of suṇāti	+dat		please listen, it must listen		√su (hear)	4	ṇā	√su + ṇā > suṇā	suṇā + ti			NI	nidānuddeso	<b>suṇātu</b> me bhante saṅgho		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=suṇātu"">feedback</a>"
me	pron	1st dat sg of ahaṃ			to me									NI	nidānuddeso	suṇātu <b>me</b> bhante saṅgho		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=me"">feedback</a>"
bhante	noun	masc voc sg or pl of bhadanta			venerable(s), lord(s), reverend(s)	good one, lucky one	√bhad (be good)	1	a		√bhad + anta			NI	nidānuddeso	suṇātu me <b>bhante</b> saṅgho		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=bhante"">feedback</a>"
āvuso	noun	masc voc sg or pl of āyasmantu			friend(s), brother(s)	having long life					āyus + mantu			NI	nidānuddeso	suṇātu me <b>āvuso</b> saṅgho		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=āvuso"">feedback</a>"
saṅgho	noun	masc nom sg of saṅgha			community, assembly, group	joined together	√ghaṭ (join together)	1	a		saṃ + √ghaṭ + a			NI	nidānuddeso	suṇātu me bhante <b>saṅgho</b>		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=saṅgho"">feedback</a>"
ajjuposatho	comp	sandhi			today is the observance day						ajja + uposatho			NI	nidānuddeso	<b>ajj'uposatho</b> pannaraso, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=ajjuposatho"">feedback</a>"
- ajja	ind	adv			today, now, presently									NI	nidānuddeso	<b>ajj</b>'uposatho pannaraso, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- ajja"">feedback</a>"
- uposatho	noun	masc nom sg of uposatha			observance day	living near	√vas (live)	1	a		upa + √vas + a + tha			NI	nidānuddeso	ajj'<b>uposatho</b> pannaraso, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- uposatho"">feedback</a>"
paṇṇaraso	ordinal	masc nom sg of paṇṇarasa, comp			fifteenth 15th						pañca + dasa	dvanda	pañca + dasa	NI	nidānuddeso	ajj'<b>uposatho</b> <b>pannaraso</b>, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=paṇṇaraso"">feedback</a>"
cātuddaso	ordinal	masc nom sg of cātuddasa, comp			fourteenth 14th						catu + dasa	dvanda	catu + dasa	NI	nidānuddeso	ajj'uposatho <b>cātuddaso</b>, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=cātuddaso"">feedback</a>"
yadi	ind				if									NI	nidānuddeso	<b>yadi</b> saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=yadi"">feedback</a>"
saṅghassa	noun	masc dat sg of saṅgha			for the community, assembly, group	joined together	√ghaṭ (join together)	1	a		saṃ + √ghaṭ + a			NI	nidānuddeso	yadi <b>saṅghassa</b> pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=saṅghassa"">feedback</a>"
pattakallaṃ	noun	nt nom sg of pattakalla, comp			good time, suitable occasion	reached time					patta + kalla	accusative tappurisa	patta + kall<b>aṃ</b>	NI	nidānuddeso	yadi saṅghassa <b>pattakallaṃ</b>, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=pattakallaṃ"">feedback</a>"
- patta	pp	pp of of pāpuṇāti	+acc		reached, attained, accomplished	reached	√ap (reach, attain)	4	uṇā, ṇo		pa + √ap + ta			NI	nidānuddeso	yadi saṅghassa <b>patta</b>kallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- patta"">feedback</a>"
- kallaṃ	noun	masc acc sg of kāla			time, occasion		√kal (spend time)	8	e		√kal + *a			NI	nidānuddeso	yadi saṅghassa patta<b>kallaṃ</b>, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya.	(KV) <b>yadi saṅghassa pattakallanti</b> ettha patto kālo imassa kammassāti pattakālaṃ, pattakālameva pattakallaṃ.	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=- kallaṃ"">feedback</a>"
uposathaṃ	noun	masc acc sg of uposatha			observance day	living with	√vas (live)	1	a		upa + √vas + a + tha			NI	nidānuddeso	yadi saṅghassa pattakallaṃ, saṅgho <b>uposathaṃ</b> kareyya, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=uposathaṃ"">feedback</a>"
kareyya	verb	opt 3rd sg of karoti	+acc		he should conduct, can perform	could do	√kar (do, make)	7	o	√kar + o > karo	karo + ti			NI	nidānuddeso	yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ <b>kareyya</b>, pātimokkhaṃ uddiseyya.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=kareyya"">feedback</a>"
pātimokkhaṃ	noun	masc acc sg of pātimokkha			disciplinary code, precepts	leading to liberation	√mokkh (be free)	1	a		pa + ati + √mokkh + a			NI	nidānuddeso	yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, <b>pātimokkhaṃ</b> uddiseyya.	(KV) tattha <b>pātimokkhanti</b> paatimokkhaṃ atipamokkhaṃ atiseṭṭhaṃ atiuttamanti attho.	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=pātimokkhaṃ"">feedback</a>"
uddiseyya	verb	opt 3rd sg of uddisati	+acc		he should recite	could point up	√dis (point out, explain)	1	a	√dis + a > disa	ud + disa + ti			NI	nidānuddeso	yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ <b>uddiseyya</b>.		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=uddiseyya"">feedback</a>"
kiṃ	pron	nt nom sg of ka			what?									NI	nidānuddeso	<b>kiṃ</b> saṅghassa pubbakiccaṃ?		"<a href=""https://docs.google.com/forms/d/e/1FAIpQLSdG6zKDtlwibtrX-cbKVn4WmIs8miH4VnuJvb7f94plCDKJyA/viewform?usp=pp_url&entry.438735500=kiṃ"">feedback</a>"
