Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback	Tags
sāsanarakkha	s	masc	comp						guardian of the Buddha's Teaching; protector of the Message of the Buddha					sāsana + ārakkha	śāsana + ārakṣa										<b>Sāsan'ārakkha</b> Buddhist Sanctuary			SBS							00n	sāsanarakkh	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sāsanarakkha"">feedback</a>"	
catumadhura	s	nt	comp						four sweets (ghee, honey, jaggery and butter)					catu + madhura											maṇḍapeyyam’idaṃ bhikkhave brahmacariyaṃ<br/>Bhikkhus this holy life is like <b>catumadhura</b>	Dhamma-pahaṃsāna	Striving According to the Dhamma	Other							00n	catumadhur	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=catumadhura"">feedback</a>"	Dhamma-pahaṃsāna
ārakkha 1	pps	masc	agent	ārakkhati					guard; watchman; protector; bodyguard			√rakkh 1 a (to protect)		ā + √rakkh + a	ārakṣa	√rakṣ				SN 22.85	yamakasuttaṃ	seyyathā’pi, āvuso yamaka, gahapati vā gahapatiputto vā aḍḍho mahaddhano mahābhogo; so ca <b>ārakkha</b>-sampanno.	SN 35.246	vīṇopamasuttaṃ	seyyathā'pi, bhikkhave, kiṭṭhaṃ sampannaṃ. kiṭṭh'<b>ārakkho</b> ca pamatto, goṇo ca kiṭṭh'ādo aduṃ kiṭṭhaṃ otaritvā yāva'd'atthaṃ madaṃ āpajjeyya pamādaṃ āpajjeyya.						Sāsana-<b>ārakkha</b> Buddhist Sanctuary			SBS	00n	ārakkh	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ārakkha 1"">feedback</a>"	
imehi	ps	pron	masc & nt instr pl	ima					by these; with these					ima + ehi	ebhiḥ					AN 10.8	jhānasuttaṃ	<b>imehi</b> kho, bhikkhave, dasahi dhammehi samannāgato bhikkhu samanta’pāsādiko ca hoti sabb’ākāraparipūro cā’ti.	Thai		<b>imehi</b> sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	!	ima	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=imehi"">feedback</a>"	Buddh'ādi-āmisa-pūjā
taṃ 2	ps	pron	masc fem & nt acc sg	ta					him; her; one; that person; that thing (object)						tam					MN 18	madhupiṇḍikasuttaṃ	yathā ca pana kāmehi visaṃyuttaṃ viharantaṃ <b>taṃ</b> brāhmaṇaṃ akathaṃkathiṃ chinna-kukkuccaṃ bhav’ābhave vītataṇhaṃ saññā n’ānusenti	Thai		<b>tam</b>’mayaṃ bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	!	ta	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=taṃ 2"">feedback</a>"	Buddh'ādi-āmisa-pūjā
tammayaṃ	s	sandhi	pron + pron						we (to) that					taṃ + mayaṃ									Thai		<b>tam’mayaṃ</b> bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	!	ta ahaṃ	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tammayaṃ"">feedback</a>"	Buddh'ādi-āmisa-pūjā
abhivādeti	ps	pr					trans	+acc	bows down; pays respect to			√vad 8 *e (to salute, praise)	√vad + *e > vāde	abhi + vāde + ti	abhivādayati	√vad				SN 1.81	araṇasuttaṃ	samaṇaṃ mātā pitā bhātā, vandanti naṃ patiṭṭhitaṃ,<br/>samaṇ'īdha jātihīnaṃ, <b>abhivādenti</b> khattiyā'ti.	Thai		arahaṃ sammāsambuddho bhagavā, buddhaṃ bhagavantaṃ <b>abhivādemi</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	abhivād	eti pr	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhivādeti"">feedback</a>"	Buddh'ādi-āmisa-pūjā
duggata	ps	adj	pp	du + gacchati					faring badly; poor; miserable; inferior; humble			√gam 1 a (to go)		dur + √gam + ta	durgata	√gam				MN 39	mahāassapurasuttaṃ	so dibbena cakkhunā visuddhena atikkanta-mānusakena satte passati cavamāne upapajjamāne hīne paṇīte suvaṇṇe dubbaṇṇe, sugate <b>duggate</b>, yathākamm’ūpage satte pajānāti	Thai		ime sakkāre <b>duggata</b>-paṇṇākāra-bhūte paṭiggaṇhātu amhākaṃ dīgharattaṃ hitāya sukhāya	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	duggat	a adj	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=duggata"">feedback</a>"	Buddh'ādi-āmisa-pūjā
paṇṇa 1	ps	nt							leaf						parṇa					DHPa 2.17.7	atulaupāsaka vatthu	esa vāt’āhata-tāla-<b>paṇṇaṃ</b> viya taṭataṭāyati, imassa kathā-pariyanto-y’eva n’atthī’ti nindanti	Thai		ime sakkāre duggata-<b>paṇṇ’</b>ākāra-bhūte paṭiggaṇhātu amhākaṃ dīgharattaṃ hitāya sukhāya	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	paṇṇ	a nt	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paṇṇa 1"">feedback</a>"	Buddh'ādi-āmisa-pūjā
paṇṇākāra	s	masc	comp						donation; present					paṇṇa + ākāra	parṇa + ākāra				(PED) object of writing; that which is connected or sent with a letter, a special message, donation, present, gift				Thai		ime sakkāre duggata-<b>paṇṇ’ākāra</b>-bhūte paṭiggaṇhātu amhākaṃ dīgharattaṃ hitāya sukhāya	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	paṇṇākār	a masc	99	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paṇṇākāra"">feedback</a>"	Buddh'ādi-āmisa-pūjā
