user_id	id	pali_1	grammar	neg	verb	trans	plus_case	meaning_1	meaning_lit	ru_meaning	sanskrit	sanskrit_root	sanskrit_root_meaning	sanskrit_root_class	root	root_has_verb	root_group	root_sign	root_meaning	root_base	construction	derivative	suffix	phonetic	compound_type	compound_construction	sbs_source_1	sbs_sutta_1	sbs_example_1	link	sbs_audio	test	feedback
35181	36019	naṃ	pron, nt acc sg of ta					him; her; it; one; that		его; ее; этого; это	tam										ta > na + aṃ						DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā manomayā,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato <b>naṃ</b> dukkham'anveti,<br>cakkaṃva vahato padaṃ.		[sound:naṃ.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=naṃ&entry.1433863141=Parittas"">Fix it here</a>"
14016	49753	bhāsati 1.1	pr			trans	+acc	speaks (about); talks (about)		говорит	bhāṣati	√bhāṣ	speak	1	√bhās	･	1	a	speak	√bhās + a > bhāsa	bhāsa + ti						DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā, manoseṭṭhā manomayā. <br>manasā ce paduṭṭhena, <b>bhāsati</b> vā karoti vā. <br>tato naṃ dukkham'anveti, cakkaṃ'va vahato padaṃ.		[sound:bhāsati.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=bhāsati 1.1&entry.1433863141=Parittas"">Fix it here</a>"
39986	42049	pada 01	nt, from pajjati					foot		нога	pada	√pad	go	4	√pad	･	3	ya	go, step		√pad + a	kita	a				DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā, manoseṭṭhā manomayā. <br>manasā ce paduṭṭhena, bhāsati vā karoti vā. <br>tato naṃ dukkham'anveti, cakkaṃ'va vahato <b>padaṃ</b>.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pada 01&entry.1433863141=Parittas"">Fix it here</a>"
55646	64820	seṭṭha 2	masc					chief; leader; foremost; first		начальник; лидер; главный; первый	śreṣṭha										?? siri + *ttha	taddhita	*ttha				DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br>mano<b>seṭṭhā</b> manomayā,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃva vahato padaṃ.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=seṭṭha 2&entry.1433863141=Parittas"">Fix it here</a>"
33193	51239	mano 1	masc, in comps, mano group, from manas					mind; mental		ум	mano, manas	√man	think	3, 4, 8	√man	･	3	ya	think		√man + o						DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā <b>mano</b>mayā,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃva vahato padaṃ.		[sound:mano.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=mano 1&entry.1433863141=Parittas"">Fix it here</a>"
33230	51268	manopubbaṅgama	adj, comp					led by mind; preceded by mind; headed by mind; with mind as forerunner		ведомый умом; направляемый умом	manas + pūrva + gama										mano + pubbaṅgama				kammadhāraya	mano + pubbaṅgama	DHP 001	yamakavaggo	<b>manopubbaṅ'gamā</b> dhammā,<br>manoseṭṭhā manomayā,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃva vahato padaṃ.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=manopubbaṅgama&entry.1433863141=Parittas"">Fix it here</a>"
16436	27021	ce 1	ind, cond					if		если	ced																DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā manomayā,<br>manasā <b>ce</b> paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃva vahato padaṃ.		[sound:ce.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ce 1&entry.1433863141=Parittas"">Fix it here</a>"
64522	66627	vahanta 1	prp of vahati			trans	+acc	bearing; carrying; transporting		несущий; везущий; перевозящий	vahat	√vah	carry	1	√vah	･	1	a	carry, bring	√vah + a > vaha	vaha + nta	kita	nta				DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā manomayā,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃ'va <b>vahato</b> padaṃ.			02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vahanta 1&entry.1433863141=Parittas"">Fix it here</a>"
33214	51271	manomaya 1	adj, comp					mind made; mentally produced		созданный умом; произведенный умом	manomaya										mano + maya						DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br>manoseṭṭhā <b>manomayā</b>,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃva vahato padaṃ.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=manomaya 1&entry.1433863141=Parittas"">Fix it here</a>"
33252	51300	manoseṭṭha	adj, comp					with mind as chief; ruled by mind	mind foremost	с умом в качестве главного; управляется разумом	mano + śreṣṭha										mano + seṭṭha				kammadhāraya	mano + seṭṭha	DHP 001	yamakavaggo	manopubbaṅ'gamā dhammā,<br><b>manoseṭṭhā</b> manomayā,<br>manasā ce paduṭṭhena,<br>bhāsati vā karoti vā,<br>tato naṃ dukkham'anveti,<br>cakkaṃva vahato padaṃ.		[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=manoseṭṭha&entry.1433863141=Parittas"">Fix it here</a>"
