user_id	id	pali_1	grammar	neg	verb	trans	plus_case	meaning_1	meaning_lit	ru_meaning	sbs_meaning	sanskrit	sanskrit_root	sanskrit_root_meaning	sanskrit_root_class	root	root_has_verb	root_group	root_sign	root_meaning	root_base	construction	derivative	suffix	phonetic	compound_type	compound_construction	sbs_source_1	sbs_sutta_1	sbs_example_1	sbs_chant_pali_1	sbs_chant_eng_1	sbs_chapter_1	sbs_source_2	sbs_sutta_2	sbs_example_2	sbs_chant_pali_2	sbs_chant_eng_2	sbs_chapter_2	sbs_source_3	sbs_sutta_3	sbs_example_3	sbs_chant_pali_3	sbs_chant_eng_3	sbs_chapter_3	sbs_source_4	sbs_sutta_4	sbs_example_4	sbs_chant_pali_4	sbs_chant_eng_4	sbs_chapter_4	antonym	synonym	variant	commentary	notes	sbs_notes	link	sbs_index	sbs_audio	test	feedback	tags
65740	70239	vedanā 2	fem, from vedeti					pain	feeling			vedanā	√vid	know	1, 2, 6	√vid	･	8	*e	know, sense, feel		√vid > ved + *anā	kita	*anā	i > e			MN 107	gaṇakamoggallānasuttaṃ	iti purāṇañ'ca <b>vedanaṃ</b> paṭihaṅkhāmi navañ'ca vedanaṃ na uppādessāmi yātrā ca me bhavissati anavajjatā ca phāsuvihāro cā'ti	Anupubba-sikkhā	The Gradual Training	Teachings	MN 130	devadūtasuttaṃ	so tattha dukkhā tibbā kharā kaṭukā <b>vedanā</b> vedeti, na ca tāva kālaṅ'karoti yāva na taṃ pāpakammaṃ byantīhoti.				SN 35.87	channasuttaṃ	seyyathā'pi, āvuso, balavā puriso daḷhena varattakkhaṇḍena sīse sīsaveṭhaṃ dadeyya, evam'eva kho, āvuso, adhimattā sīse sīsa<b>vedanā</b>.				DHP 138	daṇḍavaggo	<b>vedanaṃ</b> pharusaṃ jāniṃ,<br>sarīrassa ca bhedanaṃ,<br>garukaṃ v'āpi ābādhaṃ,<br>cittakkhepañ'ca pāpuṇe.											00n	[sound:vedanā.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vedanā 2&entry.1433863141=SBS"">Fix it here</a>"	Anupubba-sikkhā   
28143	19835	kathaṃkathī	adj, comp					who is confused; who is not sure; who is in doubt	asking how?			kathaṃkathika										kathaṃ + kathī				kammadhāraya	kathaṃ + kathī	MN 107	gaṇakamoggallānasuttaṃ	vicikicchaṃ pahāya tiṇṇavicikiccho viharati a<b>kathaṃkathī</b> kusalesu dhammesu, vicikicchāya cittaṃ parisodheti.	Anupubba-sikkhā	The Gradual Training	Teachings	SNP 60	dhotaka māṇava pucchā<br>pārāyanavaggo 5	n'āhaṃ sahissāmi pamocanāya,<br><b>kathaṃkathiṃ</b> dhotaka kañci loke,<br>dhammañ'ca seṭṭhaṃ abhijānamāno,<br>evaṃ tuvaṃ ogham'imaṃ taresi.				MN 2.2	sabbāsavasuttaṃ	eta'r'ahi vā paccuppannam'addhānaṃ ajjhattaṃ <b>kathaṃkathī</b> hoti, ahaṃ nu kho'smi? no nu kho'smi? kiṃ nu kho'smi? kathaṃ nu kho'smi? ayaṃ nu kho satto kuto āgato? so kuhiṃ gāmī bhavissatī'ti?										akathaṃkathī							00n		02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kathaṃkathī&entry.1433863141=SBS"">Fix it here</a>"	Anupubba-sikkhā   
21958	17933	ettaka	adj, from etta					so much; this much; so long				etāvat										ima + tta + ka<br>etta + ka	taddhita	ka				PAT PK	dhammayuttika-pubbakicca	utu'kkhānaṃ nāma <b>ettakaṃ</b> atikkantaṃ <b>ettakaṃ</b> avasiṭṭhan'ti	Pubbakicca	Preliminary duty	International Pātimokkha	SN 22.101	vāsijaṭasuttaṃ	no ca khv'assa evaṃ ñāṇaṃ hoti, <b>ettakaṃ</b> vata me ajja vāsijaṭassa khīṇaṃ, ettakaṃ hiyyo, ettakaṃ pare'ti. atha khv'assa khīṇe khīṇan'tv'eva ñāṇaṃ hoti.				SN 22.96	gomayapiṇḍasuttaṃ	<b>ettako</b> ce'pi, bhikkhu, attabhāvapaṭilābho abhavissa nicco dhuvo sassato avipariṇāmadhammo, na'y'idaṃ brahmacariyavāso paññāyetha sammā dukkhakkhayāya.				VIN PAT AS	adhikaraṇasamathā	<b>ettakaṃ</b> tassa bhagavato sutt'āgataṃ suttapariyāpannaṃ anvaddhamāsaṃ uddesaṃ āgacchati.					etta						00n	[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ettaka&entry.1433863141=SBS"">Fix it here</a>"	Pubbakicca   
22054	18110	evameva kho	idiom, adv + ind + ind					similarly; in the same way; so too				evam + evam										evaṃ + eva + kho						MN 107	gaṇakamoggallānasuttaṃ	<b>evam'eva kho</b> brāhmaṇa tathāgato purisadammaṃ labhitvā paṭhamaṃ evaṃ vineti, ehi tvaṃ bhikkhu sīlavā hohi	Anupubba-sikkhā	The Gradual Training	Teachings	SN 35.247	chappāṇakasuttaṃ	<b>evam'eva kho</b>, bhikkhave, yassa kassaci bhikkhuno kāyagatāsati abhāvitā abahulīkatā, taṃ cakkhu āviñchati manāpiyesu rūpesu, amanāpiyā rūpā paṭikūlā honti				MN 52	aṭṭhakanāgarasuttaṃ	<b>evam'eva kho</b> ahaṃ, bhante, imesaṃ ekādasannaṃ amatadvārānaṃ ekam'ekena'pi amatadvārena sakkuṇissāmi attānaṃ sotthiṃ kātuṃ.				SN 46.11	pāṇasuttaṃ	<b>evam'eva kho</b>, bhikkhave, bhikkhu sīlaṃ nissāya sīle patiṭṭhāya satta bojjh'aṅge bhāveti, satta bojjh'aṅge bahulīkaroti.											00n	[sound:evameva kho.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=evameva kho&entry.1433863141=SBS"">Fix it here</a>"	Anupubba-sikkhā   
55538	64898	sena 1.1	nt, abbrev of sayana					bed; sleeping place	lying down			śayana	√śī	lie	1, 2	√sī	･	1	a	lie, sleep		√sī > say + *ana<br>s<b>aya</b>na > s<b>e</b>na	kita	*ana	ī > ay<br>aya > e			MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, vivittaṃ<b> sen'</b>āsanaṃ bhajāhi araññaṃ rukkhamūlaṃ pabbataṃ kandaraṃ giriguhaṃ susānaṃ vanapatthaṃ abbhokāsaṃ palālapuñjan'ti	Anupubba-sikkhā	The Gradual Training	Teachings	AN 7.61	pacalāyamānasuttaṃ	yāni ca kho tāni <b>sen</b>'āsanāni appasaddāni appanigghosāni vijanavātāni manussarāhaseyyakāni paṭisallānasāruppāni tathārūpehi <b>sen</b>'āsanehi saṃsaggaṃ vaṇṇayāmī'ti				VIN PAT NP 29	sāsaṅkasikkhāpadaṃ	upavassaṃ kho pana kattikapuṇṇamaṃ yāni kho pana tāni āraññakāni <b>sen</b>'āsanāni sāsaṅkasammatāni sappaṭibhayāni, tathārūpesu bhikkhu <b>sen</b>'āsanesu viharanto ākaṅkhamāno tiṇṇaṃ cīvarānaṃ aññataraṃ cīvaraṃ antaraghare nikkhipeyya											sayana						00n		02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sena 1.1&entry.1433863141=SBS"">Fix it here</a>"	Anupubba-sikkhā   
21984	18053	eva 3	ind, adv					even; too; as well				eva																MN 48	kosambiyasuttaṃ	mettaṃ manokammaṃ paccupaṭṭhitaṃ hoti sabrahmacārīsu āvi c'<b>eva</b> raho ca.	Cha-sāraṇīya-dhammā,	Principles of Cordiality	Teachings							SN 21.6	lakuṇḍakabhaddiyasuttaṃ	evam'eva manussesu,<br>daharo ce'pi paññavā,<br>so hi tattha mahā hoti,<br>n'<b>eva</b> bālo sarīravā'ti.				VIN PAT SA 13	kuladūsaka sikkhāpada	tassa kho pāpakā samācārā dissanti c'<b>eva</b> suyyanti ca kulāni ca tena duṭṭhāni dissanti c'eva suyyanti ca					api						00n		02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=eva 3&entry.1433863141=SBS"">Fix it here</a>"	Cha-sāraṇīya-dhammā,   
60316	30558	tiṇṇa 1	pp of tarati				+acc	crossed over; gone beyond				tīrṇa	√tṝ √tṛ	pass	1	√tar	･	1	a	cross		√tar > tir + na	kita	na	a > i (Kacc 581, 616)<br>rn > ṇṇ			MN 107	gaṇakamoggallānasuttaṃ	vicikicchaṃ pahāya<b> tiṇṇa</b>vicikiccho viharati akathaṃkathī kusalesu dhammesu, vicikicchāya cittaṃ parisodheti.	Anupubba-sikkhā	The Gradual Training	Teachings	SNP 32	sabhiyasuttaṃ	sabbattha upekkhako satimā,<br>na so hiṃsati kañci sabbaloke,<br><b>tiṇṇo</b> samaṇo anāvilo,<br>ussadā yassa na santi sorato so.				SN 1.1	oghataraṇasuttaṃ	cirassaṃ vata passāmi,<br>brāhmaṇaṃ parinibbutaṃ,<br>appatiṭṭhaṃ anāyūhaṃ,<br><b>tiṇṇaṃ</b> loke visattikan'ti.										atiṇṇa							00n		02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tiṇṇa 1&entry.1433863141=SBS"">Fix it here</a>"	Anupubba-sikkhā   
52101	60223	sampajañña 1	nt, abstr, from sampajāna					attentiveness; clear awareness; full comprehension				samprajanya	√jñā	know	9	√ñā	･	5	nā	know	√ñā + nā > jānā	saṃ + pa + jānā + ya<br>sampajāna + ya	taddhita	ya	ṃ > m<br>ñ > j			MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ, bhikkhu, sati<b>sampajaññena</b> samannāgato hohi, abhikkante paṭikkante sampajānakārī, ālokite vilokite sampajānakārī, samiñjite pasārite sampajānakārī, saṅghāṭipattacīvaradhāraṇe sampajānakārī	Anupubba-sikkhā	The Gradual Training	Teachings	TH 247	udāyittheragāthā	sati ca <b>sampajaññañ</b>'ca,<br>caraṇā nāgassa tepare,<br>saddhāhattho mahānāgo,<br>upekkhāsetadantavā.				AN 10.61	avijjāsuttaṃ	sati<b>sampajaññam</b>'p'āhaṃ, bhikkhave, sāhāraṃ vadāmi, no anāhāraṃ. ko c'āhāro sati<b>sampajaññassa</b>? yonisomanasikāro'ti'ssa vacanīyaṃ.				AN 8.74	dutiya maraṇassatisuttaṃ	seyyathā'pi ādittacelo vā ādittasīso vā, tass'eva celassa vā sīsassa vā nibbāpanāya adhimattaṃ chandañ'ca vāyāmañ'ca ussāhañ'ca ussoḷhiñ'ca appaṭivāniñ'ca satiñ'ca <b>sampajaññañ</b>'ca kareyya.				asampajañña	sati						00n	[sound:sampajañña.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sampajañña 1&entry.1433863141=SBS"">Fix it here</a>"	Anupubba-sikkhā   
6159	1466	añjana 2	nt, from añjati					eye ointment	smearing			añjana	√añj	anoint	1, 7	√añj	･	1	a	smear, anoint		√añj + ana	kita	ana				TH 251	raṭṭhapālattheragāthā	aṭṭhapadakatā kesā, nettā <b>añjana</b>makkhitā. <br>alaṃ bālassa mohāya, no ca pāragavesino.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses							MN 75	māgaṇḍiyasuttaṃ	tassa so bhisakko sallakatto bhesajjaṃ kareyya, uddhaṃvirecanaṃ adhovirecanaṃ <b>añjanaṃ</b> paccañjanaṃ natthukammaṃ. so taṃ bhesajjaṃ āgamma cakkhūni uppādeyya, cakkhūni visodheyya.													(DNa) <b>añjanan</b>'ti dve vā tīṇi vā paṭalāni nīharaṇasamatthaṃ khār'añjanaṃ.				00n	[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=añjana 2&entry.1433863141=SBS"">Fix it here</a>"	Raṭṭhapāla-thera-gāthā   
4137	246	akusala 4	adj, from na kusala	neg				unhealthy; unwholesome; unskillful; unbeneficial; useless				akuśala										na > a + kusala				kammadhāraya	na + kusala	SN 12.22	dutiyadasabalasuttaṃ	dukkhaṃ, bhikkhave, kusīto viharati vokiṇṇo pāpakehi <b>akusalehi</b> dhammehi, mahantañ'ca sadatthaṃ parihāpeti.	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	DN 22.18	mahāsatipaṭṭhānasuttaṃ	bhikkhu anuppannānaṃ pāpakānaṃ <b>akusalānaṃ</b> dhammānaṃ anuppādāya chandaṃ janeti vāyamati vīriyaṃ ārabhati cittaṃ paggaṇhāti padahati	Ariy'aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings													kusala	anatthasaṃhita, asappāya		(ANa) <b>akusalehī</b>'ti akosallasambhūtehi.				00n	[sound:coming-soon.mp3]	02	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akusala 4&entry.1433863141=SBS"">Fix it here</a>"	Dhamma-pahaṃsāna Ariy'aṭṭhaṅgika-magga  
