Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Test	audio	Feedback	ID	Tags
tassa 1	pron	masc & nt dat sg	ta					to him; for him; to that; for that					ta + ssa	tvasmai					SN 1.41	ādittasuttaṃ	ādittasmiṃ agārasmiṃ, yaṃ nīharati bhājanaṃ. taṃ <b>tassa</b> hoti atthāya, no ca yaṃ tattha ḍayhati.										Trad		namo <b>tassa</b> bhagavato arahato sammā-sambuddhassa	Pubba-bhāga-nama-kāra-pāṭho		Protective Recitations	00n	55	[sound:tassa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tassa 1&entry.1433863141=Anki"">Fix it here</a>."	59021	  Pubba-bhāga-nama-kāra-pāṭho
namo	ind	excl, nom sg	namas				+dat	reverence (to); veneration (to); homage (to); lit. bow			√nam 1 a (to bend)		√nam + o	namas	√nam																Trad		<b>namo</b> tassa bhagavato arahato sammā-sambuddhassa	Pubba-bhāga-nama-kāra-pāṭho		Protective Recitations	00n	55	[sound:namo.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=namo&entry.1433863141=Anki"">Fix it here</a>."	35279	  Pubba-bhāga-nama-kāra-pāṭho
sāsanarakkha	masc	comp						guardian of the Buddha's Teaching; protector of the Message of the Buddha					sāsana + ārakkha	śāsana + ārakṣa																SBS							00n	55	[sound:sāsanarakkha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sāsanarakkha&entry.1433863141=Anki"">Fix it here</a>."	a001	  
imehi 1	pron	masc & nt instr pl	ima					by these; with these					ima + ehi	ebhiḥ											Thai		<b>imehi</b> sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem	AN 10.8	jhānasuttaṃ	<b>imehi</b> kho, bhikkhave, dasahi dhammehi samannāgato bhikkhu samanta’pāsādiko ca hoti sabb’ākāraparipūro cā’ti.				01n	55	[sound:imehi.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=imehi 1&entry.1433863141=Anki"">Fix it here</a>."	24732	 Buddh'ādi-āmisa-pūjā 
taṃ 2	pron	masc fem & nt acc sg	ta					him; her; one; that person; that thing (object)						tam					MN 18	madhupiṇḍikasuttaṃ	yathā ca pana kāmehi visaṃyuttaṃ viharantaṃ <b>taṃ</b> brāhmaṇaṃ akathaṃkathiṃ chinna-kukkuccaṃ bhav’ābhave vītataṇhaṃ saññā n’ānusenti				Thai		<b>tam</b>’mayaṃ bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem	SN 22.33	natumhākaṃsuttaṃ	yaṃ, bhikkhave, na tumhākaṃ, <b>taṃ</b> pajahatha. taṃ vo pahīnaṃ hitāya sukhāya bhavissati.				01n	55	[sound:taṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=taṃ 2&entry.1433863141=Anki"">Fix it here</a>."	58532	 Buddh'ādi-āmisa-pūjā 
tammayaṃ	sandhi	pron + pron						we (to) that					taṃ + mayaṃ												Thai		<b>tam’mayaṃ</b> bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi yath’ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tammayaṃ&entry.1433863141=Anki"">Fix it here</a>."	71101	 Buddh'ādi-āmisa-pūjā 
abhivādeti	pr					trans	+acc	bows down; pays respect to			√vad 8 *e (to salute, praise)	√vad + *e > vāde	abhi + vāde + ti	abhivādayati	√vad				SN 1.81	araṇasuttaṃ	samaṇaṃ mātā pitā bhātā, vandanti naṃ patiṭṭhitaṃ,<br/>samaṇ'īdha jātihīnaṃ, <b>abhivādenti</b> khattiyā'ti.				Thai		arahaṃ sammāsambuddho bhagavā, buddhaṃ bhagavantaṃ <b>abhivādemi</b>	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhivādeti&entry.1433863141=Anki"">Fix it here</a>."	1126	 Buddh'ādi-āmisa-pūjā 
upāli 2	masc							name of the monk; the most proficient of those who were learned in the Vinaya						upāli											AN 1.228	catutthavaggo	etadaggaṃ, bhikkhave, mama sāvakānaṃ bhikkhūnaṃ vinayadharānaṃ yadidaṃ <b>upāli</b>			SBS							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=upāli 2&entry.1433863141=Anki"">Fix it here</a>."	62692	  
duggata	adj	pp	du + gacchati					faring badly; poor; miserable; inferior; humble			√gam 1 a (to go)		dur + √gam + ta	durgata	√gam				MN 39	mahāassapurasuttaṃ	so dibbena cakkhunā visuddhena atikkanta-mānusakena satte passati cavamāne upapajjamāne hīne paṇīte suvaṇṇe dubbaṇṇe, sugate <b>duggate</b>, yathākamm’ūpage satte pajānāti				Thai		ime sakkāre <b>duggata</b>-paṇṇākāra-bhūte paṭiggaṇhātu amhākaṃ dīgharattaṃ hitāya sukhāya	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=duggata&entry.1433863141=Anki"">Fix it here</a>."	20089	 Buddh'ādi-āmisa-pūjā 
paṇṇa 1	nt							leaf						parṇa					DHPa 2.17.7	atulaupāsaka vatthu	esa vāt’āhata-tāla-<b>paṇṇaṃ</b> viya taṭataṭāyati, imassa kathā-pariyanto-y’eva n’atthī’ti nindanti				Thai		ime sakkāre duggata-<b>paṇṇ’</b>ākāra-bhūte paṭiggaṇhātu amhākaṃ dīgharattaṃ hitāya sukhāya	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem							01n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=paṇṇa 1&entry.1433863141=Anki"">Fix it here</a>."	41644	 Buddh'ādi-āmisa-pūjā 
