ID	Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source2	Sutta2	Example2	Source3	Sutta3	Example3	Test	audio	Feedback
23865	hantar	masc	agent	hanati					striker; killer		√han 1 a (to smite, kill)		√han + tar	hantṛ	√han										DHP 389	brāhmaṇavaggo	na brāhmaṇassa pahareyya, n'āssa muñcetha brāhmaṇo,<br/>dhī brāhmaṇassa <b>hantāraṃ</b>, tato dhī y'assa muñcati.	55		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hantar&entry.1433863141=DHP"">Fix it here</a>."
68256	visaṅkhāra 1	adj		na saṅkhāra	neg				unconditioned; unconstructed; unfabricated		√kar 7 o (to do, make)		vi + saṃ + √kar > khar + *a	saṃskāra	√kṛ							DHP 154	jarāvaggo	gahakāraka diṭṭho’si, puna gehaṃ na kāhasi, <br/>sabbā te phāsukā bhaggā, gahakūṭaṃ visaṅkhataṃ, <br/><b>visaṅkhāra</b>-gataṃ cittaṃ, taṇhānaṃ khayam’ajjhagā.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=visaṅkhāra 1&entry.1433863141=DHP"">Fix it here</a>."
68258	visaṅkhāragata	adj	comp		neg				become unconditioned; unconstructed; unfabricated				visaṅkhāra + gata	saṃskāra + gata								DHP 154	jarāvaggo	gahakāraka diṭṭho’si, puna gehaṃ na kāhasi, <br/>sabbā te phāsukā bhaggā, gahakūṭaṃ visaṅkhataṃ, <br/><b>visaṅkhāragataṃ</b> cittaṃ, taṇhānaṃ khayam’ajjhagā.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=visaṅkhāragata&entry.1433863141=DHP"">Fix it here</a>."
68261	visaṅkhata	pp		na visaṅkharoti	neg				deconstructed; destroyed		√kar 7 o (to do, make)		vi + saṃ + √kar > khar + ta	vi + saṃkṛta	√kṛ							DHP 154	jarāvaggo	gahakāraka diṭṭho’si, puna gehaṃ na kāhasi, <br/>sabbā te phāsukā bhaggā, gahakūṭaṃ <b>visaṅkhataṃ</b>, <br/>visaṅkhāragataṃ cittaṃ, taṇhānaṃ khayam’ajjhagā.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=visaṅkhata&entry.1433863141=DHP"">Fix it here</a>."
66679	viheṭhayanta	prp		viheṭhayati			trans	+acc	harming; vexing; annoying; troubling		√heṭh 8 *aya (to harass, annoy)	√heṭh + aya > heṭhaya	vi + heṭhaya + nta	viheṭh	√heṭh √hīḍ										DHP 184	buddhavaggo	khantī paramaṃ tapo titikkhā, nibbānaṃ paramaṃ vadanti buddhā, <br/>na hi pabbajito par’ūpaghātī, na samaṇo hoti paraṃ <b>viheṭhayanto</b>.	55	[sound:viheṭhayanta.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=viheṭhayanta&entry.1433863141=DHP"">Fix it here</a>."
65426	vatayaṃ	sandhi	ind + pron						indeed this; truly this				vata + ayaṃ	vata + ayam								DHP 041	cittavaggo	aciraṃ <b>vat’ayaṃ</b> kāyo, paṭhaviṃ adhisessati.<br/>chuḍḍho apeta-viññāṇo, niratthaṃ’va kaliṅgaraṃ. 				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vatayaṃ&entry.1433863141=DHP"">Fix it here</a>."
57868	susamāraddha	pp		su + samārabhati					resolutely undertaken; fully taken on; energetically undertaken		√rabh 1 a (to begin, make effort)		su + saṃ + ā + √rabh + ta	susamārabdha	√rabh							DHP 293	pakiṇṇakavaggo	yesañ'ca <b>susamāraddhā</b>, niccaṃ kāyagatā sati,<br/>akiccaṃ te na sevanti, kicce sātaccakārino,<br/>satānaṃ sampajānānaṃ, atthaṃ gacchanti āsavā.	AN 11.15	mettāsuttaṃ	’mettāya ceto-vimuttiyā āsevitāya bhāvitāya bahulīkatāya yānīkatāya vatthukatāya anuṭṭhitāya paricitāya <b>susamāraddhāya</b> ekādas’ānisaṃsā pāṭikaṅkhā.	55	[sound:susamāraddha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=susamāraddha&entry.1433863141=DHP"">Fix it here</a>."
58005	sutta 1	adj	pp	supati					lying down; sleeping		√sup 1 a (to lie down, sleep)		√sup + ta	svapna	√svap							DHP 029	appamādavaggo	appamatto pamattesu, <b>suttesu</b> bahujāgaro,<br/>abal'assaṃ'va sīgh'asso, hitvā yāti sumedhaso.	SN 1.6	jāgarasuttaṃ	kati jāgarataṃ <b>suttā</b>, kati <b>suttesu</b> jāgarā.<br/>katīhi rajam’ādeti, katīhi parisujjhatī”ti.	55	[sound:sutta.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sutta 1&entry.1433863141=DHP"">Fix it here</a>."
57220	sukhakāma	adj	comp						wishing for happiness; fond of ease				sukha + kāma	sukha + kāma								DHP 131	daṇḍavaggo	<b>sukhakāmāni</b> bhūtāni, yo daṇḍena vihiṃsati,<br/>attano sukham'esāno, pecca so na labhate sukhaṃ.	SN 12.63	puttamaṃsūpamasuttaṃ	atha puriso āgaccheyya jīvitu’kāmo amaritu’kāmo <b>sukhakāmo</b> dukkha-ppaṭikūlo.	55	[sound:sukhakāma.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sukhakāma&entry.1433863141=DHP"">Fix it here</a>."
56094	sīlī	adj	in comps						in the habit of; accustomed to; of such nature; of such character		√sīl 1 a (to conduct oneself)		√sīl + ī	śīlin	√śīl							DHP 109	sahassavaggo	abhivādana-<b>sīlissa</b>, niccaṃ vuḍḍh’āpacāyino, <br/>cattāro dhammā vaḍḍhanti, āyu vaṇṇo sukhaṃ balaṃ.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sīlī&entry.1433863141=DHP"">Fix it here</a>."
56134	siñcati 2	pr					trans	+acc	(of water) pours out; bails out; empties; sprinkles		√sic 2 ṃa (to sprinkle, pour)	√sic + ṃa > siñca	siñca + ti	siñcati	√sic							DHP 369	bhikkhuvaggo	<b>siñca</b> bhikkhu imaṃ nāvaṃ, sittā te lahum'essati,<br/>chetvā rāgañ'ca dosañ'ca, tato nibbānam'ehisi.				55		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=siñcati 2&entry.1433863141=DHP"">Fix it here</a>."
71092	saraṇamuttama	nt	comp						highest refuge; best shelter				saraṇaṃ + uttama									DHP 192	buddhavaggo	etaṃ kho saraṇaṃ khemaṃ, etaṃ <b>saraṇam’uttamaṃ</b>, <br/>etaṃ saraṇam’āgamma<b>,</b> sabbadukkhā pamuccati.				55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=saraṇamuttama&entry.1433863141=DHP"">Fix it here</a>."
