pali,pos,meaning,root,constr.,pat.,cl.
attha 2.1,masc,need (for); want (for),√atth 8 *aya (wish for),√atth + a,a masc,2
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),"√sī 1 a (lie, sleep)",anu + √sī > say + *a,a masc,2
ākāsa 2,masc,sky; air,"√kās 1 a (shine, be visible)",ā + √kās + a,a masc,2
ācariya 1,masc,teacher; religious leader,"√car 1 a (act, behave)",ā + √car + iya,a masc,2
ābādha 1,masc,disease; sickness; illness; affliction,"√bādh 1 a (press, oppress)",ā + √bādh + a,a masc,2
āsava 1.2,masc,discharge; suppuration; outflow; effluent,√su 1 a (flow),ā + √su > sav + *a,a masc,2
āvāsa 1,masc,home (of); dwelling place (of); residence (of),√vas 1 a (live),ā + √vas > vās + *a,a masc,2
upajjhāya,masc,preceptor; teacher; mentor,"√i 1 a (study, recite)",upa + adhi > adhy > ajjh + √i > āy + *a,a masc,2
upāyāsa,masc,affliction; difficulty; trouble; despair,"√yas 3 ya (strive, struggle)",upa + ā + √yas > yās + *a,a masc,2
upāsaka,masc,lay disciple; lay devotee,√ās 1 a (sit),upa + √ās + aka,a masc,2
uposatha 1,masc,full moon or new moon observance day,√vas 1 a (live),"upa + √vas + a + tha
up<b>ava</b>sa > up<b>o</b>sa + tha",a masc,2
uppāda 1.1,masc,arising (of); appearance (of); coming into being (of),"√pad 3 ya (go, step)",ud + √pad > pād + *a,a masc,2
kassapa 1,masc,name of the 1st previous Buddha,,,a masc,2
kāma 3,masc,sense desire (of); sensual pleasure (of),√kam 8 *e (desire),√kam > kām + *a,a masc,2
kāya 1.1,masc,body; physical body; physical process,"√ci 5 nā (gather, accumulate)",√ci > ki > kay + *a,a masc,2
kesa,masc,(head) hair,,,a masc,2
khandha 3,masc,aggregate; combination; conglomeration,"√khand 1 a (jump up, pile up)",√khand + a,a masc,2
khaya,masc,wearing away (of); exhaustion (of); erosion (of); depletion (of); destruction (of),"√khī 1 a (exhaust, destroy)",√khī > khay + *a,a masc,2
gabbha 3,masc,room; inside room; inner chamber,,,a masc,2
gāma 1,masc,village; hamlet,,,a masc,2
gotama 1,masc,family name of the Buddha,,gotama + a,a masc,2
cāga 1,masc,giving up; relinquishing; abandoning,"√caj 1 a (give up, let go)",√caj > cāg + *a,a masc,2
cāga 2,masc,generosity; sharing; liberality,"√caj 1 a (give up, let go)",√caj > cāg + *a,a masc,2
chanda 1,masc,interest (in); desire (for); wish (for); intention (to); impulse (for),"√chand 8 *e (desire, please)",√chand + a,a masc,2
ñāya,masc,way; means; method; system,"√i 1 a (come, go)",nī > ny > ñ + √i > ay + *a,a masc,2
thera 1.2,masc,(vinaya) elder; senior monk; monk with ten or more years as a monk,√ṭhā 1 a (stand),√ṭhā > thā + ira > thera,a masc,2
danta 1.1,masc,tooth,,,a masc,2
deva 1,masc,deity; god,√div 3 ya (shine),√div > dev + *a,a masc,2
dhamma 1.02,masc,quality; characteristic; trait; inherent quality,"√dhar 1 a (hold, carry, endure)",√dhar + ma,a masc,2
dhamma 1.03,masc,teaching; discourse; doctrine,"√dhar 1 a (hold, carry, endure)",√dhar + ma,a masc,2
dhamma 1.05,masc,mental states,"√dhar 1 a (hold, carry, endure)",√dhar + ma,a masc,2
dhamma 1.09,masc,law; case; rule; legal process,"√dhar 1 a (hold, carry, endure)",√dhar + ma,a masc,2
nakha 1,masc,fingernail; toenail,,,a masc,2
nara,masc,man; person,,,a masc,2
nirodha,masc,ending (of); cessation (of); termination (of); finishing (of),√rudh 2 ṃa (obstruct),ni + √rudh > rodh + *a,a masc,2
nissaya 1,masc,dependency; physical support; reliance; something one depends on,"√si 1 a (depend on, associate with)",ni + √si > say + *a,a masc,2
nīvaraṇa 1,masc,obstacle; obstruction; barrier; hindrance,"√var 1 a (cover, dress, restrain)",ni > nī + √var + *aṇa,a masc,2
paṭinissagga,masc,giving up (of); relinquishing (of); dropping (of); abandoning (of),"√sajj 1 a (relinquish, let loose)",pati + nī + √sajj > sagg + a,a masc,2
patta 1.1,masc,bowl; alms bowl; begging bowl,√pā 1 a (drink),√pā + ta,a masc,2
papañca,masc,various opinions; proliferation; endless conceptualization,"√pañc 8 *e (expand, spread)",pa + √pañc + a,a masc,2
parideva,masc,lamentation; wailing; crying,√dev 1 a (lament),pari + √dev + a,a masc,2
pāda 1,masc,foot,"√pad 3 ya (go, step)",√pad > pād + *a,a masc,2
phassa 1,masc,contact; sense impingement; raw experience; touch,√phus 1 a (touch),√phus > phass + a,a masc,2
bāla 2,masc,fool; idiot; immature person,,,a masc east,2
brāhmaṇa 1,masc,Brahman; priest; man of the Brahman caste,√brah 1 a (increase),"√brah > brāh + ma + *aṇa
brahma + *aṇa",a masc,2
brāhmaṇa 2,masc,arahant; awakened being; saint; paragon,√brah 1 a (increase),"√brah > brāh + ma + *aṇa
brahma + *aṇa",a masc,2
bhava 2,masc,being; becoming; existence,"√bhū 1 a (be, become)",√bhū > bhav + *a,a masc,2
bheda 1,masc,death,"√bhid 2 ṃa (break, split)",√bhid > bhed + *a,a masc,2
manussa,masc,human being; man; person,,manu + ssa,a masc,2
māra,masc,death; Death; death personified,√mar 1 a (die),√mar > mār + *a,a masc,2
moha 1,masc,illusion; delusion; hallucination,"√muh 3 ya (be deluded, confused)",√muh > moh + *a,a masc,2
rukkha 1,masc,tree,,,a masc,2
loka 1,masc,world; universe; cosmos,√lok 8 *e (look),√lok + a,a masc,2
loma 1,masc,body hair,,,a masc,2
saṅkhāra 1,masc,intention; volitional formation; choice; karmic activity,"√kar 7 o (do, make)",saṃ + √kar > khār + *a,a masc,2
saṅkhāra 3,masc,mental formation; mental activity; thought processes; fourth of the five aggregates,"√kar 7 o (do, make)",saṃ + √kar > khār + *a,a masc,2
saṅgha 1,masc,community; monastic order; assembly of monks,√ghaṭ 1 a (join together),saṃ + √ghaṭ + a,a masc,2
samaṇa 1,masc,ascetic; renunciant; holy man; monk; recluse,"√sam 3 ya (exert, strive)",√sam + aṇa,a masc,2
samatikkama,masc,surpassing (of); overcoming (of); going beyond; transcendence,√kam 1 a (go),saṃ + ati + √kam + a,a masc,2
samaya 1.1,masc,time; occasion,"√i 1 a (come, go)",saṃ + √i > ay + *a,a masc,2
sāvaka,masc,disciple; pupil; follower,√su 4 ṇā (hear),√su > sāv + *aka,a masc,2
sīha 1,masc,lion,,,a masc,2
sugata 2,masc,Accomplished One; Fortunate One; epithet of the Buddha,√gam 1 a (go),su + √gam + ta,a masc,2
