pali_1,pos,meaning_1,root,pattern,sbs_class
aggi,masc,fire,√agg,i masc,4
aṭṭhāsi 1,aor,stood; stayed; remained,√ṭhā,āsi aor,4
attha 1.1,masc,meaning; sense; significance,√ar,a masc,2
attha 2.1,masc,need (for); want (for),√atth,a masc,2
atthi 1.1,pr,there is; there exists,√as 1,atthi pr,4
anālaya 1,masc,non-clinging; non-attachment; non-reliance; unstuck,√lī 1,a masc,2
anuyuñjati 2,pr,indulges (in); is addicted (to),√yuj,ati pr,4
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),√sī,a masc,2
anussarati 1.1,pr,remembers; recollects; bears in mind,√sar 2,ati pr,3
apucchi,aor,asked; enquired,√pucch,i aor isuṃ,4
abyāpāda,masc,goodwill; kindness; friendliness; benevolence,√pad,a masc,2
abhāsi 1,aor,spoke; said,√bhā,i aor isuṃ,4
abhinandi 1,aor,delighted (in); was pleased (with); approved (of); was happy (with); relished,√nand,i aor,4
abhisaṅkharoti 2,pr,does; performs,√kar,oti pr,4
abhivaḍḍhati,pr,increases more and more; surpasses; outgrows,√vaḍḍh,ati pr,3
amha 1.1,pr,we are,√as 1,atthi pr,4
amhi,pr,I am,√as 1,atthi pr,4
asi 2.1,pr,you are,√as 1,atthi pr,4
ākāsa 2,masc,sky; air,√kās 1,a masc,2
ācariya 1,masc,teacher; religious leader,√car 2,a masc,2
ājānāti 1,pr,knows; understands,√ñā,āti pr,3
ānanda 2,masc,"name of an arahant monk; attendant of the Buddha; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service",√nand,a masc,2
āpajjati 2,pr,arouses; exhibits; produces; brings into being,√pad,ati pr,4
ābādha 1,masc,disease; sickness; illness; affliction,√bādh,a masc,2
āmantesi,aor,addressed; said (to); advised,√mant,esi aor,4
āloka,masc,light; brightness; clarity,√lok,a masc,2
āsava 1.2,masc,discharge; suppuration; outflow; effluent,√su 2,a masc,2
āsi 1.1,aor,was,√as 1,āsi aor irreg,4
āsiṃ,aor,I was,√as 1,āsi aor irreg,4
āvāsa 1,masc,home (of); dwelling place (of); residence (of),√vas 1,a masc,2
isi,masc,seer; sage,,i masc,4
udapādi 1,aor,arose (for); sprung up (for),√pad,i aor,4
uddisati 1,pr,recites; chants,√dis 2,ati pr,3
uddesa 1,masc,proposition; synopsis; statement in brief; summary; introduction,√dis 2,a masc,2
upajjhāya,masc,preceptor; teacher; mentor,√i 2,a masc,2
upapajjati 1,pr,is reborn (in); re-arises (in),√pad,ati pr,4
upasaṅkami,aor,approached; drew near; went (to),√kam 1,i aor,4
upasama 1,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),√sam 1,a masc,2
upāyāsa,masc,affliction; difficulty; trouble; despair,√yas,a masc,2
upāsaka,masc,lay disciple; lay devotee,√ās,a masc,2
uposatha 1,masc,full moon or new moon observance day,√vas 1,a masc,2
uppajjati 1,pr,appears; arises; takes place,√pad,ati pr,4
uppāda 1.1,masc,arising (of); appearance (of); coming into being (of),√pad,a masc,2
ehi,imp,come!,√i 1,eti pr 2,3
kappati,pr,it is suitable (for); it is proper (for); it is fitting (for); it is allowable,√kapp 1,ati pr,3
karoti 1,pr,does; acts; performs,√kar,karoti pr,4
karohi,imp,do!; make!,√kar,karoti pr,4
kalyāṇamitta 2,masc,excellent friend; good spiritual companion,,a masc,2
kassaka,masc,farmer; ploughman,√kass,a masc,4
kassapa 1,masc,name of the 1st previous Buddha,,a masc,2
kāma 3,masc,sense desire (of); sensual pleasure (of),√kam 2,a masc,2
kāya 1.1,masc,body; physical body; physical process,√ci 1,a masc,2
kesa,masc,(head) hair,,a masc,2
kosalā,masc,name of the people of Kosala; Kosalans,,a masc pl,2
khattiya 2,masc,man of the ruling caste; high caste man; nobleman,,a masc,2
khandha 1,masc,mass; heap; pile; volume; aggregation,√khand,a masc,2
khandha 3,masc,aggregate; combination; conglomeration,√khand,a masc,2
khaya,masc,wearing away (of); exhaustion (of); erosion (of); depletion (of); destruction (of),√khī,a masc,2
khādati,pr,chews; devours; eats,√khād,ati pr,3
gacchati 1,pr,goes; walks; moves; wanders around,√gam,ati pr,3
gabbha 3,masc,room; inside room; inner chamber,,a masc,2
gahapati,masc,householder; landowner,,i masc,4
gāma 1,masc,village; hamlet,,a masc,2
gotama 1,masc,family name of the Buddha,,a masc,2
carati 1.1,pr,walks; wanders; goes around; travels; fares on,√car 1,ati pr,3
cāga 1,masc,giving up; relinquishing; abandoning,√caj,a masc,2
cāga 2,masc,generosity; sharing; liberality,√caj,a masc,2
ceteti 2,pr,intends; wills (to),√cit 1,eti pr,3
cora,masc,thief; robber,√cur,a masc,2
chanda 1,masc,interest (in); desire (for); wish (for); intention (to); impulse (for),√chand,a masc,2
ñāya,masc,way; means; method; system,√i 1,a masc,2
tathāgata,masc,Such Become; Realised; being in such a state; arrived at the truth; epithet of the Buddha,,a masc,2
