pali_1,meaning_1,pos,pattern,sbs_class
vinaya 1,discipline; training; lit. leading out,masc,a-masc,2
cora,thief; robber,masc,a-masc,2
upāsaka,lay disciple; lay devotee; lit. who sits near,masc,a-masc,2
gotama,family name of the Buddha; lit. of the Gotama clan,masc,a-masc,2
buddha 1,Buddha; Awakened One,masc,a-masc,2
rāga 1,desire (for); passion (for); infatuation (with); lust (for); lit. attachment,masc,a-masc,2
manussa,human being; man; person,masc,a-masc,2
papañca,various opinions; proliferation; endless conceptualization; lit. expanding; spreading,masc,a-masc,2
saṅghādisesa 2,offence requiring suspension; lit. offence requiring involvement of the community from start to finish,masc,a-masc,2
gāma 1,village; hamlet; lit. collection,masc,a-masc,2
ākāsa 2,sky; air,masc,a-masc,2
samudaya 1,source; arising; origin; appearance,masc,a-masc,2
puggala,person; individual,masc,a-masc,2
dhamma 1.09,law; case; rule,masc,a-masc,2
ābādha,disease; sickness; illness; affliction,masc,a-masc,2
āloka,light; brightness; clarity,masc,a-masc,2
vassa 2,rainy season; monsoon,masc,a-masc,2
thera 1.2,(vinaya) elder; senior monk; monk with ten or more years as a monk; lit. lasting,masc,a-masc,2
cāga 2,generosity; sharing; liberality,masc,a-masc,2
saṃvara 2,control (over); restraint (of); holding back (of),masc,a-masc,2
rāhula,name of a monk; Buddha's son,masc,a-masc,2
putta 1,son; child,masc,a-masc,2
dhamma 1.03,teaching; discourse; doctrine,masc,a-masc,2
ñāya,method; system; means; way,masc,a-masc,2
tathāgata,Such Become; Realised; being in such a state; arrived at the truth; epithet of the Buddha,masc,a-masc,2
khandha 3,aggregate; combination; conglomeration,masc,a-masc,2
loma 1,body hair,masc,a-masc,2
khandha 1,mass; heap; pile; volume,masc,a-masc,2
saṅkhāra 3,mental formation; mental activity; thought processes; fourth of the five aggregates; lit. making together,masc,a-masc,2
attha 1.1,meaning; sense; significance,masc,a-masc,2
sāriputta,name of a monk; chief disciple; great disciple of the Buddha; foremost disciple in great wisdom; lit. son of Sāri,masc,a-masc,2
khattiya 2,man of the ruling caste; high caste man; nobleman,masc,a-masc,2
uposatha 1,full moon or new moon observance day,masc,a-masc,2
puthujjana,common man; ordinary man; normal person; man in the street; lit. individual person,masc,a-masc,2
samatikkama,surpassing (of); overcoming (of); going beyond; transcendence,masc,a-masc,2
upasama,calmness (of); tranquillisation (of); stillness (of); peace (of),masc,a-masc,2
parikkhāra 1,requisite; requirement; necessity; accessory; everyday item,masc,a-masc,2
patha 2,range; mode; way,masc,a-masc,2
ānanda 2,"name of the Buddha's attendant; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service; lit. happiness",masc,a-masc,2
vasa 1.2,control (over); authority (over); power (over); mastery (over),masc,a-masc,2
daṇḍa 1,stick; truncheon; nightstick; club,masc,a-masc,2
abyāpāda,goodwill; kindness; friendliness; benevolence; lit. not ill-will,masc,a-masc,2
hattha 1,hand,masc,a-masc,2
niraya,hell; hell realm; lit. no good fortune,masc,a-masc,2
brāhmaṇa 1,Brahman; priest; man of the Brahman caste,masc,a-masc,2
samaṇa 1,ascetic; renunciant; holy man; monk; recluse; lit. who makes an effort; calm one,masc,a-masc,2
vinipāta,state of suffering; purgatory; underworld; lit. bad fall,masc,a-masc,2
bhava 2,being; becoming; existence,masc,a-masc,2
moha 1,illusion; delusion; hallucination,masc,a-masc,2
dosa 1,aversion; ill-will; hate; hatred,masc,a-masc,2
manasikāra,attention; bringing-to-mind; observation; noticing; focussing; lit. making in mind,masc,a-masc,2
rasa 1,taste; flavour,masc,a-masc,2
upāyāsa,affliction; difficulty; trouble,masc,a-masc,2
parideva,lamentation; wailing; crying,masc,a-masc,2
soka,grief; sorrow; sadness,masc,a-masc,2
nara,man; person,masc,a-masc,2
ācariya 1,teacher; religious leader,masc,a-masc,2
upajjhāya,preceptor; teacher,masc,a-masc,2
virāga 1.1,fading of desire (for); dispassion (towards); detachment (from); indifference (to),masc,a-masc,2
sekha,trainee; apprentice; learner: (comm) seven stages of a noble person before arahantship,masc,a-masc,2
dhamma 1.02,quality; characteristic; trait; inherent quality,masc,a-masc,2
āsava 2,discharge; suppuration; outflow; effluent,masc,a-masc,2
samatha 1.1,stilling (of); serenity (of); calming (of); settling (of); peace (of); (comm) mental unification,masc,a-masc,2
loka 1,world; universe; cosmos,masc,a-masc,2
rukkha,tree,masc,a-masc,2
kāya 1.1,body; physical body; physical process,masc,a-masc,2
deva 1,deity; god,masc,a-masc,2
sāvaka,disciple; pupil; follower; lit. hearer,masc,a-masc,2
anusaya,underlying tendency (to); inherent inclination (to); dormant disposition (towards); lit. sleeping alongside,masc,a-masc,2
virāga 2.1,fading (of); disappearance (of); cessation (of); destruction (of),masc,a-masc,2
samaya 1.1,time; occasion; lit. come together,masc,a-masc,2
saṅgha 1,community; monastic order; assembly of monks,masc,a-masc,2
sīha 1,lion,masc,a-masc,2
dhamma 1.05,mental states,masc,a-masc,2
bheda 1,death; lit. breakup,masc,a-masc,2
māṇava,young man; young gentleman; young Brahman,masc,a-masc,2
kāma 3,sense desire (of); sensual pleasure (of),masc,a-masc,2
uddesa 1,proposition; synopsis; statement in brief; summary; introduction; lit. pointing up,masc,a-masc,2
sambodha,enlightenment; full awakening; perfect understanding,masc,a-masc,2
brāhmaṇa 2,arahant; enlightened being; saint; paragon,masc,a-masc,2
sota 1.1,stream; river; current,masc,a-masc,2
bojjhaṅga,element of awakening; factor of enlightenment,masc,a-masc,2
māra,death; Death; death personified,masc,a-masc,2
sakuṇa,bird,masc,a-masc,2
vipāka 1,(of actions) result; outcome; consequence; fruit; lit. ripening,masc,a-masc,2
patta 1.1,bowl; alms bowl; begging bowl,masc,a-masc,2
nīvaraṇa 1,obstacle; obstruction; barrier; hindrance; lit. blocking,masc,a-masc,2
danta 1.1,tooth,masc,a-masc,2
satipaṭṭhāna 1,attending mindfully; being present with mindfulness,masc,a-masc,2
samudda,sea; ocean,masc,a-masc,2
asura,titan; enemy of the devas; lit. anti-hero,masc,a-masc,2
kesa,(head) hair,masc,a-masc,2
pāda 1,foot,masc,a-masc,2
magga 2,way; means; method,masc,a-masc,2
saṅkhāra 1,intention; volitional formation; choice; karmic activity; lit. making together,masc,a-masc,2
phassa 1,contact; sense impingement; raw experience; touch,masc,a-masc,2
visesa 1,distinction; attainment; superior state; eminence,masc,a-masc,2
pañha 2,question; enquiry,masc,a-masc,2
sahāya,friend; companion; ally; fellow traveller; lit. going with,masc,a-masc,2
paribbājaka,homeless spiritual seeker; wandering ascetic; lit. who goes around,masc,a-masc,2
āvāsa 1,home (of); dwelling place (of); residence (of),masc,a-masc,2
viveka 1,seclusion; solitude; detachment; disengagement; independence,masc,a-masc,2
chanda 1,interest (in); desire (for); wish (for); intention (to); impulse (for),masc,a-masc,2
vūpasama 1,peace (of); calming (of); subsiding (of); settling (of),masc,a-masc,2
uppāda 1.1,arising (of); appearing (of); coming into being (of); lit. fall up,masc,a-masc,2
vitakka 1,thought; reflection; pondering,masc,a-masc,2
paṭinissagga,giving up (of); relinquishing (of); dropping (of); abandoning (of),masc,a-masc,2
pamāda,carelessness; negligence; heedlessness,masc,a-masc,2
nissaya 1,dependency; physical support; reliance; something one depends on,masc,a-masc,2
nirodha,ending (of); cessation (of); termination (of); finishing (of),masc,a-masc,2
khaya,wearing away (of); exhaustion (of); erosion (of); depletion (of); slow destruction (of),masc,a-masc,2
attha 2.1,need (for); want (for); lit. want,masc,a-masc,2
adhigama 1,discovery (of); finding (of); attainment (of); achievement (of); lit. arrival,masc,a-masc,2
anālaya 1,non-clinging; non-attachment; non-reliance; unstuck,masc,a-masc,2
kalyāṇamitta 2,excellent friend; good spiritual companion,masc,a-masc,2
kassapa 1,name of the 1st previous Buddha; lit. descendant of Kassapa,masc,a-masc,2
gabbha 3,room; inside room; inner chamber; lit. womb,masc,a-masc,2
cāga 1,giving up; relinquishing; abandoning,masc,a-masc,2
thullaccaya,(vinaya) heavy offence; grave transgression; class of serious offences,masc,a-masc,2
pariyāya 4,way; nature; habit; property; quality; lit. going around,masc,a-masc,2
māsa 2.1,bean,masc,a-masc,2
saṃvara 1,control (according to); restraint (according to); holding back (according to),masc,a-masc,2
bāla 2,fool; idiot; immature person,masc,a-masc-east,2
mallā,name of the people of Malla; Mallans; lit. wrestlers,masc,a-masc-pl,2
kosalā,name of the people of Kosala; Kosalans,masc,a-masc-pl,2
punabbhava,appearing again; renewed existence; rebirth; future life,masc,a-masc,3
vibhaṅga 1,analysis; classification; breakdown; lit. division,masc,a-masc,3
pātimokkha 2,(vinaya) precepts for Buddhist monastics,masc,a-masc,3
pajahati,gives up; abandons; lets go (of),pr,ati-pr,3
vadati 1,says (to); speaks (to); tells (to),pr,ati-pr,3
abhivaḍḍhati,increases more and more; surpasses; outgrows,pr,ati-pr,3
rakkhati 1,protects; guards; watches over,pr,ati-pr,3
gaccha 1,go!; begone!,imp,ati-pr,3
upasaṅkamati,approaches; goes (to); visits; lit. goes near,pr,ati-pr,3
yācati 1,asks (for); begs (for); requests,pr,ati-pr,3
anussarati 1.1,remembers; recollects; bears in mind,pr,ati-pr,3
paṭilabhati,obtains; gets; receives; personally experiences,pr,ati-pr,3
pakkamati 1,goes (from); goes away (from); leaves (from),pr,ati-pr,3
sikkhati 2,trains (in); trains (for the purpose of); practices (for the sake of); practice (to); lit. trains,pr,ati-pr,3
bhaṇati 1,speaks; says; tells,pr,ati-pr,3
bhāsati 1.1,speaks (about); talks (about),pr,ati-pr,3
abhiramati,enjoys; delights (in); takes pleasure (in),pr,ati-pr,3
saṃvattati,leads (to); results (in); causes,pr,ati-pr,3
khādati,chews; devours; eats,pr,ati-pr,3
pucchati,asks; enquires; questions,pr,ati-pr,3
gacchati 1,goes; walks; moves; wanders around,pr,ati-pr,3
viharati 1,lives (in); dwells (in),pr,ati-pr,3
labhati 1,gets; receives; obtains,pr,ati-pr,3
kappati,it is suitable (for); it is proper (for); it is fitting (for); it is allowable,pr,ati-pr,3
passati 1,sees,pr,ati-pr,3
uddisati 1,recites; chants; lit. points up,pr,ati-pr,3
carati 1.1,walks; wanders; goes around; travels; fares on,pr,ati-pr,3
tiṭṭhati 3,remains; persists; lasts; lit. stands,pr,ati-pr,3
paṭisevati 2,uses; makes use (of); lit. associates,pr,ati-pr,3
passa 2.1,see!; look (at)!,imp,ati-pr,3
paṭisaṃvedeti,personally experiences; undergoes; feels,pr,eti-pr,3
ceteti 2,intends; will (to),pr,eti-pr,3
deti 1,gives (to); donates (to); offers (to); hands (to),pr,eti-pr,3
vedeti 1,feels; experiences; senses; notices,pr,eti-pr,3
dhāreti 3,bears in mind; keeps in mind; remembers; lit. carries,pr,eti-pr,3
ehi,come!,imp,eti-pr-2,3
pāpuṇāti 1,reaches; arrives (at); comes (to),pr,āti-pr,3
suṇāti 1,hears,pr,āti-pr,3
suṇātu,one must listen!; it must hear!,imp,āti-pr,3
paṭibhāti,comes to mind; occurs (to),pr,āti-pr,3
paṭijānāti 3,makes the claim (of); claims (to be),pr,āti-pr,3
paṭiggaṇhāti 1,takes; accepts; receives,pr,āti-pr,3
ājānāti 1,knows; understands,pr,āti-pr,3
paggaṇhāti 2,holds up; raises up,pr,āti-pr,3
kassaka,farmer; ploughman,masc,a-masc,4
vāṇija,trader; dealer,masc,a-masc,4
paṭipajjati 2,practices; follows a course of action; follows a method,pr,ati-pr,4
uppajjati 1,appears; arises; takes place,pr,ati-pr,4
āpajjati 2,arouses; exhibits; produces; brings into being,pr,ati-pr,4
bhuñjati 1,eats; consumes,pr,ati-pr,4
nibbindati 1,is dis-enchanted (with); is disinterested (in); is disillusioned (by); loses interest (in); is dispassionate (towards),pr,ati-pr,4
upapajjati 1,is reborn (in); re-arises (in); lit. goes towards,pr,ati-pr,4
jhāyati 2,meditates; contemplates; lit. thinks,pr,ati-pr,4
chindati 1,cuts off; severs,pr,ati-pr,4
anuyuñjati 2,indulges (in); is addicted (to); lit. yokes near,pr,ati-pr,4
atthi 1,there is; there exists,pr,atthi-pr,4
amha 1.1,we are,pr,atthi-pr,4
asi 2.1,you are,pr,atthi-pr,4
attha 4.2,you (all) must be; may you (all) be,imp,atthi-pr,4
amhi,I am,pr,atthi-pr,4
āmantesi,addressed; said (to); advised,aor,esi-aor,4
ahosi,was; existed; became,aor,hosi-aor,4
pāturahosi,appeared; manifested; lit. was visible,aor,hosi-aor,4
hoti 1,is; becomes,pr,hoti-pr,4
hotu 1,may it be (for)!,imp,hoti-pr,4
hotha,may you all be!; I pray you all may be!,imp,hoti-pr,4
udapādi 1,arose (for); sprung up (for),aor,i-aor,4
abhinandi 1,delighted (in); was pleased (with); approved (of); was happy (with); relished,aor,i-aor,4
upasaṅkami,approached; drew near; went (to); lit. went near,aor,i-aor,4
pucchi,asked; enquired; questioned,aor,i-aor,4
abhāsi 1,spoke; said,aor,i-aor,4
paccassosi,replied (to); agreed (with),aor,i-aor,4
sammodi,greeted; exchanged pleasantries; had a friendly conversation (with),aor,i-aor,4
apucchi,asked; enquired,aor,i-aor-isuṃ,4
nisīdi,sat (on); sat down (in),aor,i-aor-isuṃ,4
santi 3,virtuous woman; good woman,fem,i-fem,4
samādhi 1,perfect peace of mind; stability of mind; stillness of mind; mental composure,masc,i-masc,4
gahapati,householder; landowner; lit. house master,masc,i-masc,4
muni 1,monk; sage; seer; hermit; silent sage,masc,i-masc,4
aggi,fire,masc,i-masc,4
isi,seer; sage,masc,i-masc,4
gāmaṇi,chief; chieftain; headman; leader,masc,i-masc,4
ñāti,family; relative; kinsman; lit. known,masc,i-masc,4
byādhi,sickness; disease; illness; lit. upset,masc,i-masc,4
sāli,fine rice,masc,i-masc,4
karoti 1,does; acts; performs,pr,karoti-pr,4
karohi,do!; make!,imp,karoti-pr,4
abhisaṅkharoti 2,does; performs; lit. constructs,pr,oti-pr,4
aṭṭhāsi 1,stood; stayed; remained,aor,āsi-aor,4
byākāsi 1,answered; replied; lit. made distinct,aor,āsi-aor,4
āsiṃ,I was,aor,āsi-aor-irreg,4
āsi 1.1,was,aor,āsi-aor-irreg,4
sambuddha 1,Awakened One; Buddha; who is wide awake; who has completely understood,masc,a-masc,5
taca 1,skin,masc,a-masc,5
adhamma 2,false teaching; something opposed to the teaching,masc,a-masc,5
ājīva,livelihood; mode of living; way of life; way of earning a living,masc,a-masc,5
abhisamaya,complete comprehension (of); total understanding (of); completely getting (of); breakthrough (to); lit. arriving,masc,a-masc,5
mada 1,excess; pleasure; indulgence,masc,a-masc,5
mama 2,my; mine; of me,pron,ahaṃ-pron,5
me 5,my; mine,pron,ahaṃ-pron,5
no 2.1,us (object),pron,ahaṃ-pron,5
ahaṃ,I,pron,ahaṃ-pron,5
no 2.3,for us; to us,pron,ahaṃ-pron,5
me 3,to me; for me,pron,ahaṃ-pron,5
no 2.4,our,pron,ahaṃ-pron,5
maṃ 1,me (object),pron,ahaṃ-pron,5
mayā 1,by me; with me,pron,ahaṃ-pron,5
amhākaṃ 3,our; of us; my (royal plural),pron,ahaṃ-pron,5
mayaṃ,we; I (royal plural),pron,ahaṃ-pron,5
sobhati 2,looks beautiful (in); lit. shines,pr,ati-pr,5
assasissati,will breathe; will inhale,fut,ati-pr,5
passasissati,will exhale; will breathe out,fut,ati-pr,5
neti 1.1,leads; carries away; takes away,pr,eti-pr,5
dhāressati,will bear in mind; will keep in mind; will remembers; lit. will hold,fut,eti-pr,5
no 1.1,no; not,ind,ind,5
saha 2,with; together (with); accompanied (by),ind,ind,5
mā 1,do not; may one not; don't let,ind,ind,5
na 1,no; not; neither; nor,ind,ind,5
saddhiṃ,together (with); with,ind,ind,5
bhavissati 1,could be; should be; lit. will be,fut,issati-fut,5
gamissati,will go,fut,issati-fut,5
byākarissati,will explain; will define; will describes,fut,oti-pr,5
dassati 1.1,will give (to),fut,ssati-fut,5
tayā 1,by you,pron,tvaṃ-pron,5
vo 1.4,of you all; your,pron,tvaṃ-pron,5
te 2.4,your; of you,pron,tvaṃ-pron,5
vo 1.3,to you all; for you all,pron,tvaṃ-pron,5
vo 1.2,by you all; with you all,pron,tvaṃ-pron,5
tuvaṃ 1,you,pron,tvaṃ-pron,5
tumhākaṃ 3,of you all; yours,pron,tvaṃ-pron,5
tumhe 2,(object) you all; you (royal plural),pron,tvaṃ-pron,5
nābhijānāti 1,does not know; does not understand; lit. does not completely know,pr,āti-pr,5
ottappī,afraid of wrong; conscientious,adj,ī-adj,5
vādī 1,speaking; saying; telling,adj,ī-adj,5
anupassī 1,looking (at); observing; following; noticing; witnessing; watching,adj,ī-adj,5
gavesī 1,seeking; searching for; looking for,adj,ī-adj,5
anāgāmī,who does not return; non-returning,adj,ī-adj,5
bhogī 1.1,enjoying; using; experiencing; partaking in,adj,ī-adj,5
sakadāgāmī,once-returner; who has attained the second stage of the path,adj,ī-adj,5
vippaṭisārī,remorseful; regretful; repentant; sorry; lit. remembering back negatively,adj,ī-adj,5
sabrahmacārī,fellow monk; spiritual companion,masc,ī-masc,5
pakkhī,bird; lit. with wings,masc,ī-masc,5
