pali,pos,meaning,root,construction,pattern,cl.
akkosa,masc,verbal abuse; insult,"√kus 1 *a (call, insult)",ā + √kus > kos + *a,a masc,2
agacchi,aor,went; travelled,√gam 1 a (go),a + gaccha + i,i aor issaṃ,4
agāra 1,nt,dwelling; building; house; hut,,,a nt,9
agāra 2,nt,household life; domestic living,,,a nt,9
aggi,masc,fire,√agg 1 a (move crookedly),√agg + i,i masc,4
accādhāya,ger,overlapping; placing one on top of another,"√dhā 1 a (place, support)",ati > aty > acc + ā + √dhā + ya,,8
acchādeti 1.1,pr,dresses; clothes; give clothes (to),"√chad 8 *e (cover, conceal)",ā + chāde + ti,eti pr,3
acchādetvā,abs,having dressed (in); having clothed oneself (in); having put on,"√chad 8 *e (cover, conceal)",ā + chāde + tvā,,8
ajesi,aor,conquered; defeated,√ji 1 a (conquer),a + je + si,esi aor,4
ajja,ind,today; now,,ima + jja,,6
ajjhabhāsi,aor,addressed; spoke (to),√bhās 1 a (speak),adhi > adhy > ajjh + a + √bhās + i,i aor,4
ajjhāvasatar,masc,who lives in a home; who is domestically settled,√vas 1 a (live),adhi > adhy > ajjh + ā + vasa + tar,ar masc,6
añjali 1,masc,palms placed together (as a token of respect),√añj 1 a (pay respect),√añj + ali,i masc,4
aññātuṃ,inf,to know; to understand,√ñā 5 nā (know),ā + √ñā + tuṃ,,9
aṭṭhāsi 1,aor,stood; stayed; remained,√ṭhā 1 a (stand),a + √ṭhā + si,āsi aor,4
aṭṭhi 1.1,nt,bone,,,i nt,9
atippago,ind,too early (to),,ati + pago,,9
attha 1.1,masc,meaning; sense; significance,"√ar 1 a (move, attain)",√ar + tha,a masc,2
attha 2.1,masc,need (for); want (for),√atth 8 *aya (wish for),√atth + a,a masc,2
attha 4.2,imp,you (all) must be; may you (all) be,√as 1 a (be),√as + tha > attha,atthi pr,4
atthāya 2,masc,fortunate (for); beneficial (for); useful (for),"√ar 1 a (move, attain)","√ar + tha + āya
attha + āya",a masc,9
atthi 1.1,pr,there is; there exists,√as 1 a (be),√as + ti > atthi,atthi pr,4
adhamma 2,masc,false teaching; something opposed to the teaching,"√dhar 1 a (hold, carry, endure)",na > a + √dhar + ma,a masc,5
adhigacchati,pr,gets to; attains; finds; acquires; obtains,√gam 1 a (go),adhi + gaccha + ti,ati pr,3
adhicitta,nt,meditation; mental development; higher consciousness,"√cit 8 *e (think, intend)",adhi + √cit + ta,a nt,9
anagāriya,nt,homelessness; homeless state,,na > an + agāra + iya,a nt,9
anabhineti,pr,does not invite; does not conduct towards,"√nī 1 a (lead, carry)","na > an + abhi + ne + ti
an + abhineti",eti pr,5
anāgāmī,adj,who does not return; non-returning,√gam 1 a (go),na > an + ā + √gam > gām + *ī,ī adj,5
anālaya 1,masc,non-clinging; non-attachment; non-reliance; unstuck,"√lī 3 ya (stick, hide)",na > an + ā + √lī > lay + *a,a masc,5
anupassī 1,adj,looking (at); observing; following; noticing; witnessing; watching,√dis 1 a (see),anu + passa + ī,ī adj,5
anuyuñjati 2,pr,indulges (in); is addicted (to),"√yuj 2 ṃa (yoke, join)",anu + yuñja + ti,ati pr,3
anulometi 2,pr,regulates; settles; balances,,"anu + loma + e + ti
anuloma + e + ti",eti pr,3
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); propensity (to),"√sī 1 a (lie, sleep)",anu + √sī > say + *a,a masc,2
anusāsanī,fem,advice; instruction; teaching,"√sās 1 a (order, instruct)","anu + √sās + ana + ī
anusāsana + ī",ī fem,8
anussarati 1.1,pr,remembers; recollects; bears in mind,√sar 1 a (remember),anu + sara + ti,ati pr,3
anuviloketi,pr,looks around; surveys,√lok 8 *e (look),anu + vi + loke + ti,eti pr,3
aparihāna,nt,not deteriorating; not decreasing; non-declining; non-regressing,√hā 3 ya (decrease),na > a + pari + √hā + ana,a nt,9
apucchi,aor,asked; enquired,"√pucch 1 a (ask, question)",a + √pucch + i,i aor isuṃ,4
appaccakkhāya,ger,not giving up; not disavowing; not renouncing; not rejecting,"√khā 1 a (tell, announce)","na > a + pati > paty > pacc + ā + √khā + ya
na + paccakkhāya",,8
abyāpāda,masc,goodwill; kindness; friendliness; benevolence,"√pad 3 ya (go, step)",na > a + vi > vy > by + ā + √pad > pād + *a,a masc,5
abyositatta,nt,fact of not being perfected; fact of not being accomplished,"√sā 1 a (complete, accomplish)","a + vi > vy > by + ava + √sā + ita + tta
abyosita + tta",a nt,9
abhāsi 1,aor,spoke; said,"√bhā 1 a (shine, speak)",a + √bhā + si,i aor isuṃ,4
abhijjhā,fem,wishing; wanting; covetousness; greed,"√jhā 3 ya (think, meditate)",abhi + √jhā + ā,ā fem,7
