question	pāli	answer	source	feedback
The Eighth Path Factors?	Ayam’eva ariyo aṭṭh’aṅgiko maggo	Sammā-diṭṭhi Right View Sammā-saṅkappo Right Intention Sammā-vācā Right Speech Sammā-kammanto Right Action Sammā-ājīvo Right Livelihood Sammā-vāyāmo Right Effort Sammā-sati Right Mindfulness Sammā-samādhi Right Concentration	SN 45.8	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the future perils?		1. Living alone in the forest one might die from a poisonous bite, fall down and die or become sick from food or bodily illness, encounter dangerous animals, encounter criminals, encounter wild spirits 2. I am now young but there will come a time when, old age assails the body, illness assails the body, almsfood is hard to obtain and people migrate to places where food is plenty and thus living conditions becomes congested, there is a time of discord among the population and they flee on all sides and living conditions become congested, there is schism in the Sangha. 3. Bhikkhus undeveloped in body, virtuous behavior, mind, and wisdom give full ordination are incapable of disciplining others. These disicplines in turn give ordination and are still unable to discipline the next generation. Undeveloped bhikkhus engaged in talk about the Dhamma will fall into dark Dhamma without recognizing it. Undeveloped bhikkhus do not listen and apply their minds with hearing the Tathāgata’s words but instead pay heed to poetry, beautiful words and phrases, created by outsiders, spoken by disciples. Elder bhikkhus will be luxurious and lax, leaders in backsliding, discarding the duty of solitude. Thus, bhikkhus, through corruption of the Dhamma comes corruption of the discipline, and from corruption of the discipline comes corruption of the Dhamma. 4. There will be bhikkhus who desire fine robes, fine almsfood, fine lodgings, to bond closely with female practitioners (resulting in living the spiritual life dissatisfied and committing a defiled offense) and monastery workers (thus engaging in use of various kinds of stored-up goods and gross hints).	AN 5.77-80	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What the 5 benefits of using toothsticks?	pañcime, bhikkhave, ānisaṃsā dantakaṭṭhassa khādane	- good for the eyes - breath does not stink - taste buds are purified - bile and phlegm do not envelop the food - food agrees with the body cakkhussaṃ, mukhaṃ na duggandhaṃ hoti, rasaharaṇiyo visujjhanti, pittaṃ semhaṃ bhattaṃ na pariyonandhati, bhattamassa chādeti.	AN 5.208	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are 2 things that lead to the decline and disappearance of the true Dhamma?		1. Badly set down words and phrases and badly interpreted meaning. 2. One full of hate who harbors hatred and one endowed with faith because of his misunderstanding.	AN 2.20/22	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
The 5 dangers of falling asleep muddle minded?		1. Sleeping badly 2. Awaken miserably 3. Bad dreams 4. No protection from the deities 5. Semen emits	AN 5.210	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Who is the foremost disciple in wisdom?		Ven. Sāriputta	AN 1.188-267	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Who is the foremost disciple in divine eye?		Ven. Anuruddha	AN 1.188-268	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Who is the foremost disciple in psychic potency?		Ven. Mahāmoggallāna	AN 1.188-269	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Who is the foremost disciple in ascetic practices?		Ven. Mahākassapa	AN 1.188-270	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Who is the foremost disciple in those who speak on the Dhamma?		Ven. Puṇṇa Mantāṇiputta	AN 1.188-271	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Who is the foremost disciple in faith?		Ven. Raṭṭhapāla	AN 1.188-272	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Who is the foremost disciple in learnedness, good memory, quick grasp, resoluteness, personal attendance?		Ven. Ānanda	AN 1.188-273	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 4 kinds of nutriment?		1. Edible food 2. Contact 3. Mental volition 4. Consciousness	SN 12.11	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 5 benefits of periodic wandering?		1. One gets to hear what one has not heard 2. One clarifies what one has heard 3. One is confident about some things one had heard 4. One does not contact a severe illnes 5. One has friends	AN 5.221	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is right view?	Katamā ca bhikkhave sammā-diṭṭhi	Yaṁ kho bhikkhave dukkhe ñāṇaṁ Knowledge of suffering Dukkha-samudaye ñāṇaṁ Knowledge of the origin of suffering Dukkha-nirodhe ñāṇaṁ Knowledge of the cessation of suffering Dukkha-nirodha-gāminiyā paṭipadāya ñāṇaṁ Knowledge of the way of practice Leading to the cessation of suffering Ayaṁ vuccati bhikkhave sammā-diṭṭhi This bhikkhus is called Right View ‘atthi dinnaṃ atthi yiṭṭhaṃ atthi hutaṃ, atthi sukata-dukkaṭānaṃ kammānaṃ phalaṃ vipāko, atthi ayaṃ loko atthi paro loko, atthi mātā atthi pitā, atthi sattā opapātikā, atthi loke samaṇabrāhmaṇā sammaggatā sammā-paṭipannā ye imañ’ca lokaṃ parañ’ca lokaṃ sayaṃ abhiññā sacchikatvā pavedentī’ti. ‘There is what is given and what is offered and what is sacrificed; there is fruit and result of good and bad actions; there is this world and the other world; there is mother and father; there are beings who are reborn spontaneously; there are good and virtuous recluses and brahmins in the world who have themselves realised by direct knowledge and declare this world and the other world.’	SN 45.8	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is right intention?	Katamo ca bhikkhave sammā-saṅkappo	Nekkhamma-saṅkappo The intention of renunciation Abyāpāda-saṅkappo The intention of non-ill-will Avihiṁsā-saṅkappo The intention of non-cruelty Ayaṁ vuccati bhikkhave sammā-saṅkappo This bhikkhus is called Right Intention	SN 45.8	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is right speech?	Katamā ca bhikkhave sammā-vācā	Musāvādā veramaṇī Abstaining from false speech Pisuṇāya vācāya veramaṇī Abstaining from malicious speech Pharusāya vācāya veramaṇī Abstaining from harsh speech Samphappalāpā veramaṇī Abstaining from idle chatter Ayaṁ vuccati bhikkhave sammā-vācā This bhikkhus is called Right Speech	SN 45.8	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is right action?	Katamo ca bhikkhave sammā-kammanto	Pāṇ’ātipātā veramaṇī Abstaining from killing living beings Adinn’ādānā veramaṇī Abstaining from taking what is not given Kāmesu-micchācārā veramaṇī Abstaining from sexual misconduct Ayaṁ vuccati bhikkhave sammā-kammanto This bhikkhus is called Right Action	SN 45.8	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is right livelihood?	Katamo ca bhikkhave sammā-ājīvo	Idha bhikkhave ariya-sāvako Micchā-ājīvaṁ pahāya Sammā-ājīvena jīvitaṁ kappeti Here bhikkhus a noble disciple Having abandoned wrong livelihood Earns his living by right livelihood Ayaṁ vuccati bhikkhave sammā-ājīvo This bhikkhus is called Right Livelihood	SN 45.8	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is right effort?	Katamo ca bhikkhave sammā-vāyāmo	Idha bhikkhave bhikkhu Anuppannānaṁ pāpakānaṁ akusalānaṁ dhammānaṁ anuppādāya Chandaṁ janeti Vāyamati Vīriyaṁ ārabhati Cittaṁ paggaṇhāti padahati Here bhikkhus a bhikkhu awakens zeal For the non-arising of unarisen evil unwholesome states He puts forth effort Arouses energy Exerts his mind And strives Uppannānaṁ pāpakānaṁ akusalānaṁ dhammānaṁ pahānāya Chandaṁ janeti Vāyamati Vīriyaṁ ārabhati Cittaṁ paggaṇhāti padahati He awakens zeal for the abandoning of arisen evil unwholesome states He puts forth effort Arouses energy Exerts his mind And strives Anuppannānaṁ kusalānaṁ dhammānaṁ uppādāya Chandaṁ janeti Vāyamati Vīriyaṁ ārabhati Cittaṁ paggaṇhāti padahati He awakens zeal for the arising of unarisen wholesome states He puts forth effort Arouses energy Exerts his mind And strives Uppannānaṁ kusalānaṁ dhammānaṁ ṭhitiyā Asammosāya Bhiyyobhāvāya Vepullāya Bhāvanāya pāripūriyā Chandaṁ janeti Vāyamati Vīriyaṁ ārabhati Cittaṁ paggaṇhāti padahati He awakens zeal for the continuance Non-disappearance Strengthening Increase and fulfillment by development Of arisen wholesome states He puts forth effort Arouses energy Exerts his mind And strives Ayaṁ vuccati bhikkhave sammā-vāyāmo This bhikkhus is called Right Effort	SN 45.8	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is right mindfulness?	Katamā ca bhikkhave sammā-sati	Idha bhikkhave bhikkhu kāye kāy’ānupassī viharati Here bhikkhus a bhikkhu abides Contemplating the body among bodies Ātāpī sampajāno satimā Ardent ’ fully aware ’ and mindful Vineyya loke abhijjhā-domanassaṁ Having put away Longing and grief for the world Vedanāsu vedan’ānupassī viharati He abides contemplating feelings among feelings Ātāpī sampajāno satimā Ardent ’ fully aware ’ and mindful Vineyya loke abhijjhā-domanassaṁ Having put away Longing and grief for the world Citte citt’ānupassī viharati He abides contemplating mind among minds Ātāpī sampajāno satimā Ardent ’ fully aware ’ and mindful Vineyya loke abhijjhā-domanassaṁ Having put away Longing and grief for the world Dhammesu dhamm’ānupassī viharati He abides contemplating dhammas among dhammas Ātāpī sampajāno satimā Ardent ’ fully aware ’ and mindful Vineyya loke abhijjhā-domanassaṁ Having put away Longing and grief for the world Ayaṁ vuccati bhikkhave sammā-sati This bhikkhus is called Right Mindfulness	SN 45.8	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is right concentration?	Katamo ca bhikkhave sammā-samādhi	Idha bhikkhave bhikkhu Here bhikkhus a bhikkhu Vivicc’eva kāmehi Quite secluded from sense pleasures Vivicca akusalehi dhammehi Secluded from unwholesome states Savitakkaṁ savicāraṁ viveka-jaṁ pīti-sukhaṁ paṭhamaṁ jhānaṁ upasampajja viharati Enters upon and abides ’ in the first Jhāna Accompanied by thought and examination With rapture and pleasure ’ born of seclusion Vitakka-vicārānaṁ vūpasamā With the stilling of thought and examination Ajjhattaṁ sampasādanaṁ Cetaso ekodibhāvaṁ Avitakkaṁ avicāraṁ samādhi-jaṁ pīti-sukhaṁ dutiyaṁ jhānaṁ upasampajja viharati He enters upon and abides ’ in the second Jhāna Accompanied by self-confidence ’ and singleness of mind Without thought and examination With rapture and pleasure ’ born of concentration Pītiyā ca virāgā With the fading away as well of rapture Upekkhako ca viharati He abides in equanimity Sato ca sampajāno Mindful ’ and fully aware Sukhañ’ca kāyena paṭisaṁvedeti And experiencing pleasure with the body Yaṁ taṁ ariyā ācikkhanti ‘Upekkhako satimā sukha-vihārī’ti tatiyaṁ jhānaṁ upasampajja viharati He enters upon and abides ’ in the third Jhāna On account of which the Noble Ones announce ‘He has a pleasant abiding With equanimity and is mindful’ Sukhassa ca pahānā With the abandoning of pleasure Dukkhassa ca pahānā And the abandoning of pain Pubb’eva somanassa domanassānaṁ atthaṅ’gamā With the previous disappearance of joy and displeasure Adukkham’asukhaṁ upekkhā-sati-pārisuddhiṁ catutthaṁ jhānaṁ upasampajja viharati He enters upon and abides ’ in the fourth Jhāna Accompanied by neither pain nor pleasure And purity of mindfulness Due to equanimity Ayaṁ vuccati bhikkhave sammā-samādhi This bhikkhus is called Right Concentration	SN 45.8	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 5 dangers in singing?		1.One becomes infatuated with one’s own intonation 2. Others become infatuated with one’s intonation 3. Householders complain: `Just as we sing, so, too, do these ascetics who follow the son of the Sakyans.’ 4. There is a disruption of concentration for one wanting to refine the intonation. 5. [Those in] the next generation follow one’s example.	AN 5.209	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 5 dangers in staying in a place for too long?		1. One comes to own and accumulate many goods; 2. One comes to own and accumulate many medicines; 3. One takes on many tasks and duties and becomes competent in the various things to be done; 4. One forms bonds with householders and monastics in an unsuitable way typical of laypeople; 5. And when one departs from that monastery, one departs full of concern.	AN 5.223	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 3 advantages of teaching Dhamma?		1. The one who teaches the Dhamma experiences the meaning and the Dhamma. 2.The one who hears the Dhamma experiences the meaning and the Dhamma. 3. Both the one who teaches the Dhamma and the one who hears the Dhamma experience the meaning and the Dhamma.	AN 3.43	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is the doctrine of non-existence?		‘There is nothing given, nothing offered, nothing sacrificed; no fruit or result of good and bad actions; no this world, no other world; no mother, no father; no beings who are reborn spontaneously; no good and virtuous recluses and brahmins in the world who have themselves realised by direct knowledge and declare this world and the other world.’ 'It is to be expected that they will avoid these three wholesome states, namely, good bodily conduct, good verbal conduct, and good mental conduct, and that they will undertake and practise these three unwholesome states, namely, bodily misconduct, verbal misconduct, and mental misconduct. Why is that? Because those good recluses and brahmins do not see in unwholesome states the danger, degradation, and defilement, nor do they see in wholesome states the blessing of renunciation, the aspect of cleansing.’		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
